# Russian Cup 2023/24 — RSSSF rus2024.html #kubok (compact, chunks 29-32) + #cupdet (venues)
# ISO|stage|home|hg|ag|away|penH|penA|stadium|city
# --- RPL PATH GROUPS, 2023 ---
2023-07-25|Group-B R1|Lokomotiv Moscow|2|1|Ural Yekaterinburg|||Russian Railways Arena|Moscow
2023-07-25|Group-C R1|Zenit St Petersburg|2|0|Akhmat Grozny|||Gazprom Arena|St Petersburg
2023-07-25|Group-D R1|Pari Nizhny Novgorod|1|1|Dynamo Moscow|4|3|Nizhny Novgorod Stadium|Nizhny Novgorod
2023-07-26|Group-A R1|FC Orenburg|0|6|CSKA Moscow|||Gazovik Stadium|Orenburg
2023-07-26|Group-A R1|Fakel Voronezh|1|3|PFC Sochi|||Central Trade Union Stadium|Voronezh
2023-07-26|Group-B R1|FC Rostov|1|0|Rubin Kazan|||Rostov Arena|Rostov-on-Don
2023-07-26|Group-C R1|Krylia Sovetov Samara|2|3|Baltika Kaliningrad|||Solidarnost Samara Arena|Samara
2023-07-27|Group-D R1|FC Krasnodar|1|2|Spartak Moscow|||FC Krasnodar Stadium|Krasnodar
2023-08-08|Group-B R2|Rubin Kazan|0|1|Lokomotiv Moscow|||Ak Bars Arena|Kazan
2023-08-08|Group-B R2|Ural Yekaterinburg|1|0|FC Rostov|||Yekaterinburg Arena|Yekaterinburg
2023-08-08|Group-D R2|Spartak Moscow|5|4|Pari Nizhny Novgorod|||Otkrytie Bank Arena|Moscow
2023-08-09|Group-A R2|CSKA Moscow|0|2|Fakel Voronezh|||VEB Arena|Moscow
2023-08-09|Group-A R2|FC Orenburg|2|0|PFC Sochi|||Gazovik Stadium|Orenburg
2023-08-09|Group-C R2|Krylia Sovetov Samara|0|1|Zenit St Petersburg|||Solidarnost Samara Arena|Samara
2023-08-09|Group-D R2|Dynamo Moscow|4|3|FC Krasnodar|||VTB Arena|Moscow
2023-08-10|Group-C R2|Akhmat Grozny|0|2|Baltika Kaliningrad|||Akhmat Arena|Grozny
2023-08-29|Group-A R3|Fakel Voronezh|0|1|FC Orenburg|||Central Trade Union Stadium|Voronezh
2023-08-29|Group-B R3|Rubin Kazan|2|1|Ural Yekaterinburg|||Ak Bars Arena|Kazan
2023-08-29|Group-D R3|Spartak Moscow|4|1|Dynamo Moscow|||Otkrytie Bank Arena|Moscow
2023-08-29|Group-D R3|Pari Nizhny Novgorod|0|1|FC Krasnodar|||Nizhny Novgorod Stadium|Nizhny Novgorod
2023-08-30|Group-A R3|PFC Sochi|0|0|CSKA Moscow|4|5|Fisht Stadium|Sochi
2023-08-30|Group-B R3|FC Rostov|2|1|Lokomotiv Moscow|||Rostov Arena|Rostov-on-Don
2023-08-30|Group-C R3|Baltika Kaliningrad|1|0|Zenit St Petersburg|||RosTech Arena|Kaliningrad
2023-08-30|Group-C R3|Akhmat Grozny|3|1|Krylia Sovetov Samara|||Akhmat Arena|Grozny
2023-09-19|Group-C R4|Baltika Kaliningrad|1|2|Krylia Sovetov Samara|||RosTech Arena|Kaliningrad
2023-09-19|Group-D R4|Pari Nizhny Novgorod|0|3|Spartak Moscow|||Nizhny Novgorod Stadium|Nizhny Novgorod
2023-09-19|Group-D R4|FC Krasnodar|1|1|Dynamo Moscow|4|2|FC Krasnodar Stadium|Krasnodar
2023-09-20|Group-A R4|CSKA Moscow|1|1|PFC Sochi|4|2|VEB Arena|Moscow
2023-09-20|Group-B R4|Rubin Kazan|1|1|FC Rostov|2|4|Ak Bars Arena|Kazan
2023-09-20|Group-B R4|Ural Yekaterinburg|0|0|Lokomotiv Moscow|4|2|Yekaterinburg Arena|Yekaterinburg
2023-09-20|Group-C R4|Akhmat Grozny|3|3|Zenit St Petersburg|2|4|Akhmat Arena|Grozny
2023-09-21|Group-A R4|FC Orenburg|0|0|Fakel Voronezh|4|2|Gazovik Stadium|Orenburg
2023-10-03|Group-B R5|Lokomotiv Moscow|3|1|FC Rostov|||Russian Railways Arena|Moscow
2023-10-03|Group-B R5|Ural Yekaterinburg|2|0|Rubin Kazan|||Yekaterinburg Arena|Yekaterinburg
2023-10-03|Group-C R5|Zenit St Petersburg|2|1|Baltika Kaliningrad|||Gazprom Arena|St Petersburg
2023-10-04|Group-A R5|PFC Sochi|1|2|FC Orenburg|||Fisht Stadium|Sochi
2023-10-04|Group-A R5|Fakel Voronezh|1|1|CSKA Moscow|4|2|Central Trade Union Stadium|Voronezh
2023-10-04|Group-C R5|Krylia Sovetov Samara|0|3|Akhmat Grozny|||Solidarnost Samara Arena|Samara
2023-10-04|Group-D R5|Dynamo Moscow|3|0|Spartak Moscow|||VTB Arena|Moscow
2023-10-04|Group-D R5|FC Krasnodar|3|0|Pari Nizhny Novgorod|||FC Krasnodar Stadium|Krasnodar
2023-10-31|Group-C R6|Zenit St Petersburg|1|0|Krylia Sovetov Samara|||Gazprom Arena|St Petersburg
2023-10-31|Group-C R6|Baltika Kaliningrad|4|1|Akhmat Grozny|||RosTech Arena|Kaliningrad
2023-11-01|Group-A R6|PFC Sochi|2|0|Fakel Voronezh|||Fisht Stadium|Sochi
2023-11-01|Group-B R6|Lokomotiv Moscow|3|0|Rubin Kazan|||Russian Railways Arena|Moscow
2023-11-01|Group-D R6|Spartak Moscow|2|3|FC Krasnodar|||Otkrytie Bank Arena|Moscow
2023-11-02|Group-A R6|CSKA Moscow|3|1|FC Orenburg|||VEB Arena|Moscow
2023-11-02|Group-B R6|FC Rostov|2|1|Ural Yekaterinburg|||Rostov Arena|Rostov-on-Don
2023-11-02|Group-D R6|Dynamo Moscow|2|1|Pari Nizhny Novgorod|||VTB Arena|Moscow
# --- GROUP TABLES (RSSSF): W WP LP L / GF-GA pts ---
# A: CSKA 2 2 1 1 11-5 11 | Orenburg 3 1 0 2 6-10 11 | Sochi 2 0 2 2 7-6 8 (Minor) | Fakel 1 1 1 3 4-7 6
# B: Lokomotiv 4 0 1 1 10-4 13 | Rostov 3 1 0 2 7-7 11 | Ural 2 1 0 3 6-6 8 (Minor) | Rubin 1 0 1 4 3-9 4
# C: Zenit 4 1 0 1 9-5 14 | Baltika 4 0 0 2 12-7 12 | Akhmat 2 0 1 3 10-12 7 (Minor) | Krylya 1 0 0 5 5-12 3
