# CZ1 2021/22 (HET liga / Fortuna:Liga) — RSSSF tsje2022.html, transcribed 2026-08-03
# MD|date|home|hg|ag|away  (ASCII stock strings; builder maps to WO-CZ1 section-3 roster strings)
# eras: FC Fastav Zlin(->Trinity 2022) | FK Jablonec 97 | MFK OKD Karvina | SK Dynamo Ceske Budejovice
#        | FC Bohemians 1905 Praha | 1. FC Slovacko | FK Mlada Boleslav | FC Banik Ostrava | FC Hradec Kralove
# postponed inside rounds: R3 Slavia-Olomouc played Oct 27; R12 Karvina-Ostrava Nov 24; R13 Bohemians-Karvina Dec 1;
#   R20 Zlin-Liberec Feb 15 + Pardubice-Slovacko Feb 22; R21 Liberec-Pardubice Mar 9; R22 Jablonec-Sparta Mar 9
R1|2021-07-24|Jablonec|1|0|Ostrava
R1|2021-07-24|Pardubice|2|2|Karvina
R1|2021-07-24|Hradec|1|1|Bohemians
R1|2021-07-24|Sparta|3|2|Olomouc
R1|2021-07-25|Plzen|2|1|MlBoleslav
R1|2021-07-25|CBudejovice|1|0|Teplice
R1|2021-07-25|Liberec|0|1|Slovacko
R1|2021-07-25|Zlin|0|1|Slavia
R2|2021-07-30|Teplice|1|3|Slavia
R2|2021-07-31|MlBoleslav|3|0|Jablonec
R2|2021-07-31|Olomouc|3|2|Pardubice
R2|2021-07-31|Karvina|1|1|Hradec
R2|2021-07-31|Liberec|0|5|Sparta
R2|2021-08-01|Ostrava|5|1|Zlin
R2|2021-08-01|Slovacko|1|0|CBudejovice
R2|2021-08-01|Bohemians|1|2|Plzen
R3|2021-08-07|CBudejovice|1|3|Ostrava
R3|2021-08-07|Hradec|1|1|Liberec
R3|2021-08-07|Sparta|2|0|Karvina
R3|2021-08-07|Zlin|3|0|Teplice
R3|2021-08-08|Pardubice|1|1|MlBoleslav
R3|2021-08-08|Jablonec|2|2|Bohemians
R3|2021-08-08|Plzen|2|1|Slovacko
R3|2021-10-27|Slavia|1|0|Olomouc
R4|2021-08-14|Olomouc|3|3|CBudejovice
R4|2021-08-14|MlBoleslav|0|2|Slavia
R4|2021-08-14|Karvina|2|3|Zlin
R4|2021-08-14|Bohemians|1|1|Sparta
R4|2021-08-15|Slovacko|1|0|Hradec
R4|2021-08-15|Teplice|1|0|Jablonec
R4|2021-08-15|Ostrava|3|1|Pardubice
R4|2021-08-15|Liberec|0|1|Plzen
R5|2021-08-21|MlBoleslav|3|1|Teplice
R5|2021-08-21|Zlin|1|4|Olomouc
R5|2021-08-21|Pardubice|3|0|Bohemians
R5|2021-08-21|Sparta|4|0|Hradec
R5|2021-08-22|CBudejovice|1|0|Liberec
R5|2021-08-22|Plzen|2|0|Karvina
R5|2021-08-22|Jablonec|1|1|Slovacko
R5|2021-08-22|Slavia|4|0|Ostrava
R6|2021-08-28|Slovacko|2|1|Pardubice
R6|2021-08-28|Ostrava|1|0|MlBoleslav
R6|2021-08-28|Liberec|0|1|Zlin
R6|2021-08-28|Sparta|1|0|CBudejovice
R6|2021-08-29|Hradec|1|0|Plzen
R6|2021-08-29|Bohemians|4|2|Teplice
R6|2021-08-29|Olomouc|4|0|Jablonec
R6|2021-08-29|Karvina|3|3|Slavia
R7|2021-09-11|Pardubice|2|2|Liberec
R7|2021-09-11|Zlin|1|3|Bohemians
R7|2021-09-11|Teplice|1|2|Ostrava
R7|2021-09-11|Plzen|3|2|Sparta
R7|2021-09-12|CBudejovice|0|1|Hradec
R7|2021-09-12|MlBoleslav|3|3|Olomouc
R7|2021-09-12|Jablonec|1|0|Karvina
R7|2021-09-12|Slavia|2|1|Slovacko
R8|2021-09-17|Olomouc|1|1|Ostrava
R8|2021-09-17|Hradec|2|0|Pardubice
R8|2021-09-18|Liberec|2|1|MlBoleslav
R8|2021-09-18|Slovacko|3|0|Zlin
R8|2021-09-18|Plzen|2|1|CBudejovice
R8|2021-09-19|Karvina|1|1|Teplice
R8|2021-09-19|Sparta|1|1|Jablonec
R8|2021-09-19|Bohemians|1|5|Slavia
R9|2021-09-25|Ostrava|4|1|Bohemians
R9|2021-09-25|CBudejovice|3|1|Karvina
R9|2021-09-25|Pardubice|0|1|Plzen
R9|2021-09-25|Zlin|2|5|Sparta
R9|2021-09-26|Jablonec|0|1|Liberec
R9|2021-09-26|MlBoleslav|3|5|Slovacko
R9|2021-09-26|Teplice|0|0|Olomouc
R9|2021-09-26|Slavia|4|1|Hradec
R10|2021-10-02|Slovacko|3|2|Teplice
R10|2021-10-02|Bohemians|2|0|Olomouc
R10|2021-10-02|CBudejovice|3|1|Pardubice
R10|2021-10-02|Plzen|2|1|Zlin
R10|2021-10-03|Hradec|2|2|Jablonec
R10|2021-10-03|Karvina|0|1|MlBoleslav
R10|2021-10-03|Liberec|0|2|Ostrava
R10|2021-10-03|Sparta|1|0|Slavia
R11|2021-10-16|Ostrava|1|2|Slovacko
R11|2021-10-16|Jablonec|2|2|CBudejovice
R11|2021-10-16|MlBoleslav|4|1|Bohemians
R11|2021-10-16|Slavia|3|1|Liberec
R11|2021-10-17|Zlin|2|3|Hradec
R11|2021-10-17|Teplice|0|1|Plzen
R11|2021-10-17|Olomouc|2|0|Karvina
R11|2021-10-17|Pardubice|2|4|Sparta
R12|2021-10-23|Slovacko|1|0|Bohemians
R12|2021-10-23|Pardubice|0|0|Zlin
R12|2021-10-23|Liberec|2|0|Olomouc
R12|2021-10-24|CBudejovice|2|2|Slavia
R12|2021-10-24|Hradec|3|0|Teplice
R12|2021-10-24|Plzen|5|0|Jablonec
R12|2021-10-24|Sparta|1|0|MlBoleslav
R12|2021-11-24|Karvina|1|2|Ostrava
R13|2021-10-30|Zlin|2|0|CBudejovice
R13|2021-10-30|Teplice|1|2|Liberec
R13|2021-10-30|Olomouc|0|3|Slovacko
R13|2021-10-31|Ostrava|2|2|Sparta
R13|2021-10-31|Jablonec|1|1|Pardubice
R13|2021-10-31|MlBoleslav|3|2|Hradec
R13|2021-10-31|Slavia|2|0|Plzen
