# CZ1 2025/26 DATE+SCORE LATTICE (independent second index)
# Source: BBC Sport "Czech Liga" scores-fixtures month pages, fetched 2026-08-04
#   https://www.bbc.com/sport/football/czech-first-league/scores-fixtures/<YYYY-MM>
# Grammar: D|dateISO|home|hg|ag|away  (ASCII stock strings; BBC names mapped, accents stripped)
# BBC prints fixtures newest-first per month; rows here normalized ascending at assembly time.
D|2025-07-18|Pardubice|1|5|Plzen
D|2025-07-19|Bohemians|1|0|Ostrava
D|2025-07-19|Karvina|2|0|Dukla
D|2025-07-19|Teplice|1|3|Zlin
D|2025-07-19|Jablonec|1|1|Sparta
D|2025-07-20|Slovacko|0|1|Olomouc
D|2025-07-20|MlBoleslav|3|3|Liberec
D|2025-07-20|Slavia|2|2|Hradec
D|2025-07-26|Hradec|1|2|Karvina
D|2025-07-26|Olomouc|0|0|Dukla
D|2025-07-26|Plzen|1|1|Jablonec
D|2025-07-26|Zlin|1|1|Slovacko
D|2025-07-26|Bohemians|0|2|Slavia
D|2025-07-27|Liberec|2|1|Pardubice
D|2025-07-27|Sparta|3|2|MlBoleslav
D|2025-08-02|Jablonec|2|0|Hradec
D|2025-08-02|Karvina|0|1|Zlin
D|2025-08-02|Teplice|3|0|Bohemians
D|2025-08-02|Olomouc|2|1|Liberec
D|2025-08-03|Slovacko|0|1|Slavia
D|2025-08-03|Dukla|1|1|Ostrava
D|2025-08-03|Pardubice|1|3|Sparta
D|2025-08-09|Liberec|2|0|Dukla
D|2025-08-09|Plzen|1|1|Slovacko
D|2025-08-09|Zlin|3|2|MlBoleslav
D|2025-08-09|Slavia|3|0|Teplice
D|2025-08-10|Bohemians|0|1|Jablonec
D|2025-08-10|Hradec|1|1|Pardubice
D|2025-08-10|Ostrava|1|2|Karvina
D|2025-08-10|Sparta|1|0|Olomouc
D|2025-08-16|Dukla|2|0|Plzen
D|2025-08-16|MlBoleslav|3|2|Hradec
D|2025-08-16|Olomouc|1|0|Zlin
D|2025-08-16|Slovacko|2|1|Teplice
D|2025-08-16|Jablonec|1|1|Slavia
D|2025-08-17|Karvina|1|2|Bohemians
D|2025-08-17|Liberec|0|2|Sparta
D|2025-08-19|MlBoleslav|0|5|Plzen
D|2025-08-23|Teplice|0|1|Jablonec
D|2025-08-23|Plzen|2|1|Karvina
D|2025-08-23|Zlin|1|0|Liberec
D|2025-08-23|Slavia|3|1|Pardubice
D|2025-08-24|Hradec|1|0|Olomouc
D|2025-08-24|Ostrava|2|0|Slovacko
D|2025-08-24|Sparta|3|2|Dukla
D|2025-08-30|Dukla|1|1|Hradec
D|2025-08-30|Karvina|4|1|Teplice
D|2025-08-30|Pardubice|1|1|Bohemians
D|2025-08-30|Slovacko|0|2|Jablonec
D|2025-08-30|MlBoleslav|1|3|Slavia
D|2025-08-31|Liberec|1|1|Plzen
D|2025-08-31|Olomouc|1|0|Ostrava
D|2025-08-31|Sparta|3|1|Zlin
D|2025-09-13|Ostrava|0|2|Liberec
D|2025-09-13|Teplice|2|3|MlBoleslav
D|2025-09-13|Plzen|1|0|Olomouc
D|2025-09-13|Zlin|1|1|Dukla
D|2025-09-13|Slavia|3|1|Karvina
D|2025-09-14|Jablonec|3|2|Pardubice
D|2025-09-14|Bohemians|1|0|Slovacko
D|2025-09-14|Hradec|2|1|Sparta
D|2025-09-17|Ostrava|1|1|Teplice
D|2025-09-20|Karvina|1|2|Jablonec
D|2025-09-20|Pardubice|1|1|Slovacko
D|2025-09-20|Olomouc|0|0|Teplice
D|2025-09-20|Zlin|1|2|Hradec
D|2025-09-20|Sparta|2|1|Plzen
D|2025-09-21|Dukla|0|2|Bohemians
D|2025-09-21|Liberec|1|1|Slavia
D|2025-09-21|MlBoleslav|1|1|Ostrava
D|2025-09-26|Slavia|2|0|Dukla
D|2025-09-27|Ostrava|0|3|Sparta
D|2025-09-27|Bohemians|2|2|Olomouc
D|2025-09-27|Slovacko|1|2|Karvina
