# ITA 2025-26 SECOND-INDEX MATRIX (MX) - emitted 2026-08-05 by inline parse of
# data/raw/wiki-ita-2025-26-article-raw.txt (FBR invoke, action=raw byte-safe; derby
# wikilink decorations stripped). MX|homeStock|awayStock|hg|ag ; 380 cells; goals=922.
# Source label for pack citations: wikimatrix-ita-2526

MX|Atalanta|Bologna|0|1
MX|Atalanta|Cagliari|2|1
MX|Atalanta|Como|1|1
MX|Atalanta|Cremonese|2|1
MX|Atalanta|Fiorentina|2|0
MX|Atalanta|Genoa|0|0
MX|Atalanta|Inter|0|1
MX|Atalanta|Juventus|0|1
MX|Atalanta|Lazio|0|0
MX|Atalanta|Lecce|4|1
MX|Atalanta|Milan|1|1
MX|Atalanta|Napoli|2|1
MX|Atalanta|Parma|4|0
MX|Atalanta|Pisa|1|1
MX|Atalanta|Roma|1|0
MX|Atalanta|Sassuolo|0|3
MX|Atalanta|Torino|2|0
MX|Atalanta|Udinese|2|2
MX|Atalanta|Verona|1|0
MX|Bologna|Atalanta|0|2
MX|Bologna|Cagliari|0|0
MX|Bologna|Como|1|0
MX|Bologna|Cremonese|1|3
MX|Bologna|Fiorentina|1|2
MX|Bologna|Genoa|2|1
MX|Bologna|Inter|3|3
MX|Bologna|Juventus|0|1
MX|Bologna|Lazio|0|2
MX|Bologna|Lecce|2|0
MX|Bologna|Milan|0|3
MX|Bologna|Napoli|2|0
MX|Bologna|Parma|0|1
MX|Bologna|Pisa|4|0
MX|Bologna|Roma|0|2
MX|Bologna|Sassuolo|1|1
MX|Bologna|Torino|0|0
MX|Bologna|Udinese|1|0
MX|Bologna|Verona|1|2
MX|Cagliari|Atalanta|3|2
MX|Cagliari|Bologna|0|2
MX|Cagliari|Como|1|2
MX|Cagliari|Cremonese|1|0
MX|Cagliari|Fiorentina|1|1
MX|Cagliari|Genoa|3|3
MX|Cagliari|Inter|0|2
MX|Cagliari|Juventus|1|0
MX|Cagliari|Lazio|0|0
MX|Cagliari|Lecce|0|2
MX|Cagliari|Milan|0|1
MX|Cagliari|Napoli|0|1
MX|Cagliari|Parma|2|0
MX|Cagliari|Pisa|2|2
MX|Cagliari|Roma|1|0
MX|Cagliari|Sassuolo|1|2
MX|Cagliari|Torino|2|1
MX|Cagliari|Udinese|0|2
MX|Cagliari|Verona|4|0
MX|Como|Atalanta|0|0
MX|Como|Bologna|1|1
MX|Como|Cagliari|0|0
MX|Como|Cremonese|1|1
MX|Como|Fiorentina|1|2
MX|Como|Genoa|1|1
MX|Como|Inter|3|4
MX|Como|Juventus|2|0
MX|Como|Lazio|2|0
MX|Como|Lecce|3|1
MX|Como|Milan|1|3
MX|Como|Napoli|0|0
MX|Como|Parma|1|0
MX|Como|Pisa|5|0
MX|Como|Roma|2|1
MX|Como|Sassuolo|2|0
MX|Como|Torino|6|0
MX|Como|Udinese|1|0
MX|Como|Verona|3|1
MX|Cremonese|Atalanta|1|1
MX|Cremonese|Bologna|1|2
MX|Cremonese|Cagliari|2|2
MX|Cremonese|Como|1|4
MX|Cremonese|Fiorentina|1|4
MX|Cremonese|Genoa|0|0
MX|Cremonese|Inter|0|2
MX|Cremonese|Juventus|1|2
MX|Cremonese|Lazio|1|2
MX|Cremonese|Lecce|2|0
MX|Cremonese|Milan|0|2
MX|Cremonese|Napoli|0|2
MX|Cremonese|Parma|0|0
MX|Cremonese|Pisa|3|0
MX|Cremonese|Roma|1|3
MX|Cremonese|Sassuolo|3|2
MX|Cremonese|Torino|0|0
MX|Cremonese|Udinese|1|1
MX|Cremonese|Verona|0|0
MX|Fiorentina|Atalanta|1|1
MX|Fiorentina|Bologna|2|2
MX|Fiorentina|Cagliari|1|2
MX|Fiorentina|Como|1|2
MX|Fiorentina|Cremonese|1|0
MX|Fiorentina|Genoa|0|0
MX|Fiorentina|Inter|1|1
MX|Fiorentina|Juventus|1|1
MX|Fiorentina|Lazio|1|0
MX|Fiorentina|Lecce|0|1
MX|Fiorentina|Milan|1|1
MX|Fiorentina|Napoli|1|3
MX|Fiorentina|Parma|0|0
MX|Fiorentina|Pisa|1|0
MX|Fiorentina|Roma|1|2
MX|Fiorentina|Sassuolo|0|0
MX|Fiorentina|Torino|2|2
MX|Fiorentina|Udinese|5|1
MX|Fiorentina|Verona|1|2
MX|Genoa|Atalanta|0|1
MX|Genoa|Bologna|3|2
MX|Genoa|Cagliari|3|0
MX|Genoa|Como|0|2
MX|Genoa|Cremonese|0|2
MX|Genoa|Fiorentina|2|2
MX|Genoa|Inter|1|2
MX|Genoa|Juventus|0|1
MX|Genoa|Lazio|0|3
MX|Genoa|Lecce|0|0
MX|Genoa|Milan|1|2
MX|Genoa|Napoli|2|3
MX|Genoa|Parma|0|0
MX|Genoa|Pisa|1|1
MX|Genoa|Roma|2|1
MX|Genoa|Sassuolo|2|1
MX|Genoa|Torino|3|0
MX|Genoa|Udinese|0|2
MX|Genoa|Verona|2|1
MX|Inter|Atalanta|1|1
MX|Inter|Bologna|3|1
MX|Inter|Cagliari|3|0
MX|Inter|Como|4|0
MX|Inter|Cremonese|4|1
MX|Inter|Fiorentina|3|0
MX|Inter|Genoa|2|0
MX|Inter|Juventus|3|2
MX|Inter|Lazio|2|0
MX|Inter|Lecce|1|0
MX|Inter|Milan|0|1
MX|Inter|Napoli|2|2
MX|Inter|Parma|2|0
MX|Inter|Pisa|6|2
MX|Inter|Roma|5|2
MX|Inter|Sassuolo|2|1
MX|Inter|Torino|5|0
MX|Inter|Udinese|1|2
MX|Inter|Verona|1|1
MX|Juventus|Atalanta|1|1
MX|Juventus|Bologna|2|0
MX|Juventus|Cagliari|2|1
MX|Juventus|Como|0|2
MX|Juventus|Cremonese|5|0
MX|Juventus|Fiorentina|0|2
MX|Juventus|Genoa|2|0
MX|Juventus|Inter|4|3
MX|Juventus|Lazio|2|2
MX|Juventus|Lecce|1|1
MX|Juventus|Milan|0|0
MX|Juventus|Napoli|3|0
MX|Juventus|Parma|2|0
MX|Juventus|Pisa|4|0
MX|Juventus|Roma|2|1
MX|Juventus|Sassuolo|1|1
MX|Juventus|Torino|0|0
MX|Juventus|Udinese|3|1
MX|Juventus|Verona|1|1
MX|Lazio|Atalanta|0|2
MX|Lazio|Bologna|1|1
MX|Lazio|Cagliari|2|0
