# ITA 2ND INDEX 2025-26 = openfootball/italy 2025-26/1-seriea.txt (380 matches,
# header '# Dates Sat Aug 23 2025 - Sun May 24 2026 (274d)', '# Matches 380'), fetched
# 2026-08-05 in 6 chunks as data/raw/ofb-it-2025-26.txt (joins c0-c1..c4-c5 + duplicate-banner
# makeup blocks documented in the raw header; c0-c1 DEFECT 'Mon Oct20' fixed to 'Mon Oct 20'
# and disclosure-noted there). Parsed by tools/parse_ofb_it.py: 380/380 rows, 38x10 histogram,
# 20 teams x 38 apps, roster == W.O. pinned 2025-26 set EXACT, 0 name unknowns, 0 DEFECT-SUSPECT.
# ROLE: CARRIER for the 2025-26 league MATCH rows - rsssf ital2026 prints no Serie A round-by-round
# (source_adaptation NOTE in pack per SPEC: independent structured dataset; scored-table
# reproduction gated below vs rsssf ital2026 TABLE constants club-for-club).
# Span 2025-08-23 .. 2026-05-24; 132 distinct dates; goals 922 (avg 2.426).
# Duplicate banners (makeup weeks of postponed RS-16 + RS-24 fixtures): [16, 24].
# TABLE GATE vs rsssf ital2026 TABLE constants (recomputed from these 380 fixtures):
#   OK Inter       pts  87 exp  87  w27 d06 l05 gf089 ga035
#   OK Napoli      pts  76 exp  76  w23 d07 l08 gf058 ga036
#   OK Roma        pts  73 exp  73  w23 d04 l11 gf059 ga031
#   OK Como        pts  71 exp  71  w20 d11 l07 gf065 ga029
#   OK Milan       pts  70 exp  70  w20 d10 l08 gf053 ga035
#   OK Juventus    pts  69 exp  69  w19 d12 l07 gf061 ga034
#   OK Atalanta    pts  59 exp  59  w15 d14 l09 gf051 ga036
#   OK Bologna     pts  56 exp  56  w16 d08 l14 gf049 ga046
#   OK Lazio       pts  54 exp  54  w14 d12 l12 gf041 ga040
#   OK Udinese     pts  50 exp  50  w14 d08 l16 gf045 ga048
#   OK Sassuolo    pts  49 exp  49  w14 d07 l17 gf046 ga050
#   OK Torino      pts  45 exp  45  w12 d09 l17 gf044 ga063
#   OK Parma       pts  45 exp  45  w11 d12 l15 gf028 ga046
#   OK Cagliari    pts  43 exp  43  w11 d10 l17 gf040 ga053
#   OK Fiorentina  pts  42 exp  42  w09 d15 l14 gf041 ga050
#   OK Genoa       pts  41 exp  41  w10 d11 l17 gf041 ga051
#   OK Lecce       pts  38 exp  38  w10 d08 l20 gf028 ga050
#   OK Cremonese   pts  34 exp  34  w08 d10 l20 gf032 ga057
#   OK Verona      pts  21 exp  21  w03 d12 l23 gf025 ga061
#   OK Pisa        pts  18 exp  18  w02 d12 l24 gf026 ga071
# POINTS GATE: 20/20 club-for-club EXACT vs rsssf TABLE constants.
# W/D/L, GF/GA columns listed for cross-check; rsssf TABLE prints pts only in this window.
#
# COLUMNS: MDn|dateISO|home|hg|ag|away
MD1|2025-08-23|Sassuolo|0|2|Napoli
MD1|2025-08-23|Genoa|0|0|Lecce
MD1|2025-08-23|Roma|1|0|Bologna
MD1|2025-08-23|Milan|1|2|Cremonese
MD1|2025-08-24|Como|2|0|Lazio
MD1|2025-08-24|Cagliari|1|1|Fiorentina
MD1|2025-08-24|Juventus|2|0|Parma
MD1|2025-08-24|Atalanta|1|1|Pisa
MD1|2025-08-25|Udinese|1|1|Verona
MD1|2025-08-25|Inter|5|0|Torino
MD2|2025-08-29|Cremonese|3|2|Sassuolo
MD2|2025-08-29|Lecce|0|2|Milan
MD2|2025-08-30|Parma|1|1|Atalanta
MD2|2025-08-30|Bologna|1|0|Como
MD2|2025-08-30|Napoli|1|0|Cagliari
MD2|2025-08-30|Pisa|0|1|Roma
MD2|2025-08-31|Genoa|0|1|Juventus
MD2|2025-08-31|Torino|0|0|Fiorentina
MD2|2025-08-31|Lazio|4|0|Verona
MD2|2025-08-31|Inter|1|2|Udinese
MD3|2025-09-13|Cagliari|2|0|Parma
MD3|2025-09-13|Juventus|4|3|Inter
MD3|2025-09-13|Fiorentina|1|3|Napoli
MD3|2025-09-14|Roma|0|1|Torino
MD3|2025-09-14|Atalanta|4|1|Lecce
MD3|2025-09-14|Pisa|0|1|Udinese
MD3|2025-09-14|Sassuolo|1|0|Lazio
MD3|2025-09-14|Milan|1|0|Bologna
MD3|2025-09-15|Verona|0|0|Cremonese
MD3|2025-09-15|Como|1|1|Genoa
MD4|2025-09-19|Lecce|1|2|Cagliari
MD4|2025-09-20|Bologna|2|1|Genoa
MD4|2025-09-20|Verona|1|1|Juventus
MD4|2025-09-20|Udinese|0|3|Milan
MD4|2025-09-21|Lazio|0|1|Roma
MD4|2025-09-21|Cremonese|0|0|Parma
MD4|2025-09-21|Torino|0|3|Atalanta
MD4|2025-09-21|Fiorentina|1|2|Como
MD4|2025-09-21|Inter|2|1|Sassuolo
MD4|2025-09-22|Napoli|3|2|Pisa
MD5|2025-09-27|Como|1|1|Cremonese
MD5|2025-09-27|Juventus|1|1|Atalanta
MD5|2025-09-27|Cagliari|0|2|Inter
MD5|2025-09-28|Sassuolo|3|1|Udinese
MD5|2025-09-28|Roma|2|0|Verona
MD5|2025-09-28|Pisa|0|0|Fiorentina
MD5|2025-09-28|Lecce|2|2|Bologna
MD5|2025-09-28|Milan|2|1|Napoli
MD5|2025-09-29|Parma|2|1|Torino
MD5|2025-09-29|Genoa|0|3|Lazio
MD6|2025-10-03|Verona|0|1|Sassuolo
MD6|2025-10-04|Parma|0|1|Lecce
MD6|2025-10-04|Lazio|3|3|Torino
MD6|2025-10-04|Inter|4|1|Cremonese
MD6|2025-10-04|Atalanta|1|1|Como
MD6|2025-10-05|Udinese|1|1|Cagliari
MD6|2025-10-05|Bologna|4|0|Pisa
MD6|2025-10-05|Fiorentina|1|2|Roma
MD6|2025-10-05|Napoli|2|1|Genoa
MD6|2025-10-05|Juventus|0|0|Milan
MD7|2025-10-18|Lecce|0|0|Sassuolo
MD7|2025-10-18|Pisa|0|0|Verona
MD7|2025-10-18|Torino|1|0|Napoli
MD7|2025-10-18|Roma|0|1|Inter
MD7|2025-10-19|Como|2|0|Juventus
MD7|2025-10-19|Genoa|0|0|Parma
MD7|2025-10-19|Cagliari|0|2|Bologna
MD7|2025-10-19|Atalanta|0|0|Lazio
MD7|2025-10-19|Milan|2|1|Fiorentina
MD7|2025-10-20|Cremonese|1|1|Udinese
MD8|2025-10-24|Milan|2|2|Pisa
MD8|2025-10-25|Udinese|3|2|Lecce
MD8|2025-10-25|Parma|0|0|Como
MD8|2025-10-25|Napoli|3|1|Inter
MD8|2025-10-25|Cremonese|1|1|Atalanta
MD8|2025-10-26|Torino|2|1|Genoa
MD8|2025-10-26|Sassuolo|0|1|Roma
MD8|2025-10-26|Verona|2|2|Cagliari
MD8|2025-10-26|Fiorentina|2|2|Bologna
