# SPA 2025-26 SECOND-INDEX MATRIX (MX) - emitted 2026-08-05 by tools/mx_es_2526.py from
# data/raw/wiki-es-2526-article-raw.txt (FBR invoke, action=raw byte-safe; derby
# wikilink decorations stripped). MX|homePin|awayPin|hg|ag ; 380 cells; goals=1024.
# Source label for pack citations: wikimatrix-es-2526

MX|Alaves|Ath Bilbao|2|4
MX|Alaves|Ath Madrid|1|1
MX|Alaves|Barcelona|1|0
MX|Alaves|Celta|0|1
MX|Alaves|Espanol|2|1
MX|Alaves|Elche|3|1
MX|Alaves|Getafe|0|2
MX|Alaves|Girona|2|2
MX|Alaves|Levante|2|1
MX|Alaves|Mallorca|2|1
MX|Alaves|Osasuna|2|2
MX|Alaves|Oviedo|1|1
MX|Alaves|Vallecano|1|2
MX|Alaves|Betis|2|1
MX|Alaves|Real Madrid|1|2
MX|Alaves|Sociedad|1|0
MX|Alaves|Sevilla|1|2
MX|Alaves|Valencia|0|0
MX|Alaves|Villarreal|1|1
MX|Ath Bilbao|Alaves|0|1
MX|Ath Bilbao|Ath Madrid|1|0
MX|Ath Bilbao|Barcelona|0|1
MX|Ath Bilbao|Celta|1|1
MX|Ath Bilbao|Elche|2|1
MX|Ath Bilbao|Espanol|1|2
MX|Ath Bilbao|Getafe|0|1
MX|Ath Bilbao|Girona|1|1
MX|Ath Bilbao|Levante|4|2
MX|Ath Bilbao|Mallorca|2|1
MX|Ath Bilbao|Osasuna|1|0
MX|Ath Bilbao|Oviedo|1|0
MX|Ath Bilbao|Vallecano|1|0
MX|Ath Bilbao|Betis|2|1
MX|Ath Bilbao|Real Madrid|0|3
MX|Ath Bilbao|Sociedad|1|1
MX|Ath Bilbao|Sevilla|3|2
MX|Ath Bilbao|Valencia|0|1
MX|Ath Bilbao|Villarreal|1|2
MX|Ath Madrid|Alaves|1|0
MX|Ath Madrid|Ath Bilbao|3|2
MX|Ath Madrid|Barcelona|1|2
MX|Ath Madrid|Celta|0|1
MX|Ath Madrid|Elche|1|1
MX|Ath Madrid|Espanol|4|2
MX|Ath Madrid|Getafe|1|0
MX|Ath Madrid|Girona|1|0
MX|Ath Madrid|Levante|3|1
MX|Ath Madrid|Mallorca|3|0
MX|Ath Madrid|Osasuna|1|0
MX|Ath Madrid|Oviedo|2|0
