Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
Russia,Premier League,2021/2022,23/07/2021,18:00,FK Rostov,Dynamo Moscow,0,2,A,3.32,3.25,2.39,3.72,3.32,2.41,3.21,3.12,2.33
Russia,Premier League,2021/2022,24/07/2021,15:30,Khimki,Zenit,1,3,A,9.64,5.82,1.32,12.9,6.55,1.34,9.89,5.54,1.29
Russia,Premier League,2021/2022,24/07/2021,18:00,Lokomotiv Moscow,Arsenal Tula,3,1,H,1.64,3.87,6.13,1.7,3.94,6.68,1.63,3.71,5.67
Russia,Premier League,2021/2022,24/07/2021,18:00,Rubin Kazan,Spartak Moscow,1,0,H,3.64,3.77,2.04,4.01,3.85,2.18,3.51,3.57,2.02
Russia,Premier League,2021/2022,25/07/2021,15:30,Ural,Krasnodar,0,3,A,3.61,3.4,2.19,4.74,3.77,2.23,3.53,3.32,2.1
Russia,Premier League,2021/2022,25/07/2021,17:00,Krylya Sovetov,Akhmat Grozny,1,2,A,2.06,3.52,3.86,2.23,3.64,3.86,2.07,3.3,3.6
Russia,Premier League,2021/2022,25/07/2021,18:00,CSKA Moscow,Ufa,1,0,H,1.67,3.81,5.92,1.73,4.21,6.33,1.66,3.65,5.47
Russia,Premier League,2021/2022,26/07/2021,17:00,Pari NN,Sochi,1,0,H,4.45,3.05,2.1,4.86,3.2,2.15,4.21,3.01,2.04
Russia,Premier League,2021/2022,30/07/2021,17:00,Arsenal Tula,Rubin Kazan,0,3,A,3.46,3.41,2.24,3.76,3.48,2.29,3.33,3.26,2.19
Russia,Premier League,2021/2022,30/07/2021,17:00,Krylya Sovetov,Spartak Moscow,0,1,A,3.9,3.44,2.08,4.42,3.69,2.11,3.77,3.44,1.98
Russia,Premier League,2021/2022,31/07/2021,15:30,Ufa,Dynamo Moscow,2,3,A,4.1,3.22,2.11,4.53,3.3,2.19,3.8,3.13,2.1
Russia,Premier League,2021/2022,31/07/2021,18:00,CSKA Moscow,Lokomotiv Moscow,1,2,A,2.18,3.39,3.63,2.34,3.5,3.72,2.15,3.28,3.44
Russia,Premier League,2021/2022,01/08/2021,15:30,Ural,Pari NN,1,1,D,2.19,3.07,4.06,2.2,3.35,4.39,2.12,3,3.89
Russia,Premier League,2021/2022,01/08/2021,18:00,FK Rostov,Zenit,2,4,A,7.41,4.49,1.48,9.25,4.5,1.54,6.91,4.29,1.47
Russia,Premier League,2021/2022,01/08/2021,18:00,Krasnodar,Khimki,0,1,A,1.55,4.38,6.36,1.65,4.61,6.36,1.56,4.16,5.65
Russia,Premier League,2021/2022,02/08/2021,18:00,Akhmat Grozny,Sochi,1,2,A,2.75,3.22,2.83,2.79,3.5,2.9,2.65,3.11,2.75
Russia,Premier League,2021/2022,06/08/2021,15:00,Ufa,Lokomotiv Moscow,1,1,D,3.24,3.26,2.43,3.5,3.43,2.44,3.21,3.2,2.29
Russia,Premier League,2021/2022,07/08/2021,15:00,Zenit,Krasnodar,3,2,H,1.46,4.94,6.87,1.53,4.97,7.5,1.45,4.7,6.41
Russia,Premier League,2021/2022,07/08/2021,15:30,Arsenal Tula,Krylya Sovetov,2,1,H,2.88,3.41,2.59,3.12,3.41,2.65,2.92,3.18,2.46
Russia,Premier League,2021/2022,07/08/2021,18:00,Spartak Moscow,Pari NN,1,2,A,1.47,4.66,7.35,1.48,4.8,7.9,1.44,4.43,6.92
Russia,Premier League,2021/2022,08/08/2021,15:30,Khimki,FK Rostov,1,1,D,2.96,3.11,2.72,3.13,3.38,2.83,2.86,3.04,2.61
Russia,Premier League,2021/2022,08/08/2021,18:00,Dynamo Moscow,CSKA Moscow,2,1,H,2.75,3.22,2.83,2.78,3.34,3,2.58,3.15,2.79
Russia,Premier League,2021/2022,08/08/2021,18:00,Rubin Kazan,Akhmat Grozny,2,1,H,2.2,3.47,3.5,2.25,3.54,3.81,2.14,3.37,3.34
