date,season,competition,round,home_team,away_team,home_country,away_country,home_goals,away_goals,venue,neutral_or_relocated_flag,date_precision
2011-06-30,2011,EUR_CL,,Manchester City,SSC Napoli,ENG,ITA,1,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Villarreal CF,Bayern München,ESP,GER,0,2,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Bayern München,Manchester City,GER,ENG,2,0,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,SSC Napoli,Villarreal CF,ITA,ESP,2,0,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Manchester City,Villarreal CF,ENG,ESP,2,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,SSC Napoli,Bayern München,ITA,GER,1,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Bayern München,SSC Napoli,GER,ITA,3,2,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Villarreal CF,Manchester City,ESP,ENG,0,3,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Bayern München,Villarreal CF,GER,ESP,3,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,SSC Napoli,Manchester City,ITA,ENG,2,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Manchester City,Bayern München,ENG,GER,2,0,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Villarreal CF,SSC Napoli,ESP,ITA,0,2,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Lille OSC,CSKA Moskva,FRA,RUS,2,2,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Inter,Trabzonspor,ITA,TUR,0,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,CSKA Moskva,Inter,RUS,ITA,2,3,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Trabzonspor,Lille OSC,TUR,FRA,1,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,CSKA Moskva,Trabzonspor,RUS,TUR,3,0,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Lille OSC,Inter,FRA,ITA,0,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Trabzonspor,CSKA Moskva,TUR,RUS,0,0,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Inter,Lille OSC,ITA,FRA,2,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,CSKA Moskva,Lille OSC,RUS,FRA,0,2,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Trabzonspor,Inter,TUR,ITA,1,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Inter,CSKA Moskva,ITA,RUS,1,2,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Lille OSC,Trabzonspor,FRA,TUR,0,0,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,FC Basel 1893,Oţelul Galaţi,SUI,ROU,2,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,SL Benfica,Manchester United,POR,ENG,1,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Manchester United,FC Basel 1893,ENG,SUI,3,3,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Oţelul Galaţi,SL Benfica,ROU,POR,0,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,FC Basel 1893,SL Benfica,SUI,POR,0,2,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Oţelul Galaţi,Manchester United,ROU,ENG,0,2,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Manchester United,Oţelul Galaţi,ENG,ROU,2,0,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,SL Benfica,FC Basel 1893,POR,SUI,1,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Manchester United,SL Benfica,ENG,POR,2,2,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Oţelul Galaţi,FC Basel 1893,ROU,SUI,2,3,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,FC Basel 1893,Manchester United,SUI,ENG,2,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,SL Benfica,Oţelul Galaţi,POR,ROU,1,0,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,AFC Ajax,Olympique Lyonnais,NED,FRA,0,0,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Dinamo Zagreb,Real Madrid,CRO,ESP,0,1,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Olympique Lyonnais,Dinamo Zagreb,FRA,CRO,2,0,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Real Madrid,AFC Ajax,ESP,NED,3,0,,,SEASON_ONLY
2011-06-30,2011,EUR_CL,,Dinamo Zagreb,AFC Ajax,CRO,NED,0,2,,,SEASON_ONLY
