date,competition,home_team,away_team,home_goals,away_goals,season,context_type
2015-06-30,EUR:CL,Chelsea FC,Maccabi Tel Aviv,4,0,2015,EUROPEAN
2015-06-30,EUR:CL,Dinamo Kiev,Maccabi Tel Aviv,1,0,2015,EUROPEAN
2015-06-30,EUR:CL,FC Porto,Maccabi Tel Aviv,2,0,2015,EUROPEAN
2015-06-30,EUR:CL,Maccabi Tel Aviv,Chelsea FC,0,4,2015,EUROPEAN
2015-06-30,EUR:CL,Maccabi Tel Aviv,Dinamo Kiev,0,2,2015,EUROPEAN
2015-06-30,EUR:CL,Maccabi Tel Aviv,FC Porto,1,3,2015,EUROPEAN
2020-06-30,EUR:EL,Maccabi Tel Aviv,Qarabağ FK,1,0,2020,EUROPEAN
2020-06-30,EUR:EL,Maccabi Tel Aviv,Shakhtar Donetsk,0,2,2020,EUROPEAN
2020-06-30,EUR:EL,Maccabi Tel Aviv,Sivasspor,1,0,2020,EUROPEAN
2020-06-30,EUR:EL,Maccabi Tel Aviv,Villarreal CF,1,1,2020,EUROPEAN
2020-06-30,EUR:EL,Qarabağ FK,Maccabi Tel Aviv,1,1,2020,EUROPEAN
2020-06-30,EUR:EL,Shakhtar Donetsk,Maccabi Tel Aviv,1,0,2020,EUROPEAN
2020-06-30,EUR:EL,Sivasspor,Maccabi Tel Aviv,1,2,2020,EUROPEAN
2020-06-30,EUR:EL,Villarreal CF,Maccabi Tel Aviv,4,0,2020,EUROPEAN
2021-06-30,EUR:CL,FC Sheriff,Inter,1,3,2021,EUROPEAN
2021-06-30,EUR:CL,FC Sheriff,Real Madrid,0,3,2021,EUROPEAN
2021-06-30,EUR:CL,FC Sheriff,Shakhtar Donetsk,2,0,2021,EUROPEAN
2021-06-30,EUR:CL,Inter,FC Sheriff,3,1,2021,EUROPEAN
2021-06-30,EUR:CL,Real Madrid,FC Sheriff,1,2,2021,EUROPEAN
2021-06-30,EUR:CL,Shakhtar Donetsk,FC Sheriff,1,1,2021,EUROPEAN
2021-06-30,EUR:CONF,FC Alashkert,Maccabi Tel Aviv,1,1,2021,EUROPEAN
2021-06-30,EUR:CONF,HJK Helsinki,Maccabi Tel Aviv,0,5,2021,EUROPEAN
2021-06-30,EUR:CONF,LASK,Maccabi Tel Aviv,1,1,2021,EUROPEAN
2021-06-30,EUR:CONF,Maccabi Tel Aviv,FC Alashkert,4,1,2021,EUROPEAN
2021-06-30,EUR:CONF,Maccabi Tel Aviv,HJK Helsinki,3,0,2021,EUROPEAN
2021-06-30,EUR:CONF,Maccabi Tel Aviv,LASK,0,1,2021,EUROPEAN
2021-06-30,EUR:CONF,Maccabi Tel Aviv,PSV Eindhoven,1,1,2021,EUROPEAN
2021-06-30,EUR:CONF,PSV Eindhoven,Maccabi Tel Aviv,1,0,2021,EUROPEAN
2021-06-30,EUR:EL,FC Sheriff,Sporting Braga,2,0,2021,EUROPEAN
2021-06-30,EUR:EL,Sporting Braga,FC Sheriff,3,2,2021,EUROPEAN
2022-06-30,EUR:CONF,FC Sheriff,OGC Nice,0,1,2022,EUROPEAN
2022-06-30,EUR:CONF,FC Sheriff,Partizan,0,1,2022,EUROPEAN
2022-06-30,EUR:CONF,OGC Nice,FC Sheriff,3,1,2022,EUROPEAN
2022-06-30,EUR:CONF,Partizan,FC Sheriff,1,3,2022,EUROPEAN
2022-06-30,EUR:EL,FC Sheriff,Manchester United,0,2,2022,EUROPEAN
2022-06-30,EUR:EL,FC Sheriff,Omonia Nikosia,1,0,2022,EUROPEAN
2022-06-30,EUR:EL,FC Sheriff,Real Sociedad,0,2,2022,EUROPEAN
2022-06-30,EUR:EL,Manchester United,FC Sheriff,3,0,2022,EUROPEAN
2022-06-30,EUR:EL,Omonia Nikosia,FC Sheriff,0,3,2022,EUROPEAN
2022-06-30,EUR:EL,Real Sociedad,FC Sheriff,3,0,2022,EUROPEAN
2023-06-30,DOM:MDA,CS Petrocub,FC Sheriff,0,1,2023,DOMESTIC
2023-06-30,DOM:MDA,CS Petrocub,FC Sheriff,2,1,2023,DOMESTIC
2023-06-30,DOM:MDA,Dacia Buiucani,FC Sheriff,0,4,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Bălţi,FC Sheriff,3,1,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Floreşti,FC Sheriff,0,4,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Milsami,FC Sheriff,0,0,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Milsami,FC Sheriff,2,0,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,CS Petrocub,0,0,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,CS Petrocub,1,1,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,Dacia Buiucani,1,1,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,Dacia Buiucani,3,0,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,Dacia Buiucani,5,0,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,FC Bălţi,2,0,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,FC Bălţi,2,1,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,FC Bălţi,4,0,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,FC Floreşti,5,1,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,FC Milsami,2,1,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,FC Milsami,2,1,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,FC Zimbru,2,0,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,FC Zimbru,4,1,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Sheriff,Spartanii Sportul,4,0,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Zimbru,FC Sheriff,0,1,2023,DOMESTIC
2023-06-30,DOM:MDA,FC Zimbru,FC Sheriff,2,0,2023,DOMESTIC
2023-06-30,DOM:MDA,Spartanii Sportul,FC Sheriff,0,2,2023,DOMESTIC
2023-06-30,EUR:CONF,Breiðablik,Maccabi Tel Aviv,1,2,2023,EUROPEAN
2023-06-30,EUR:CONF,KAA Gent,Maccabi Tel Aviv,2,0,2023,EUROPEAN
2023-06-30,EUR:CONF,Maccabi Tel Aviv,Breiðablik,3,2,2023,EUROPEAN
2023-06-30,EUR:CONF,Maccabi Tel Aviv,KAA Gent,3,1,2023,EUROPEAN
2023-06-30,EUR:CONF,Maccabi Tel Aviv,Olympiakos Piraeus,1,6,2023,EUROPEAN
2023-06-30,EUR:CONF,Maccabi Tel Aviv,Zorya Lugansk,3,2,2023,EUROPEAN
