seg,est,n,phase,res,gd,eur_frac
MIXED,0.4714285714285714,7,p2,H,3,0.9285714285714286
MIXED,-2.4125,4,p2,D,0,0.875
EUR-only,0.6875,8,p2,H,2,1.0
EUR-only,0.7,5,p2,A,-1,1.0
EUR-only,-1.85,5,p2,A,-4,1.0
EUR-only,1.9166666666666667,3,p2,H,1,1.0
EUR-only,-1.9166666666666667,3,p2,D,0,1.0
EUR-only,1.85,5,p2,H,3,1.0
EUR-only,-0.6875,8,p2,H,1,1.0
EUR-only,-0.7,5,p2,A,-5,1.0
MIXED,-0.4714285714285714,7,p2,H,1,0.9285714285714286
MIXED,2.4125,4,p2,H,3,0.875
EUR-only,-0.25,9,p2,D,0,1.0
MIXED,0.9375,4,p2,H,1,0.625
MIXED,-1.3863636363636362,4,p2,A,-4,0.875
MIXED,-0.6477272727272727,2,p2,A,-1,0.5
MIXED,-0.952020202020202,6,p2,A,-1,0.9166666666666666
MIXED,0.2727272727272727,2,p2,H,1,0.5
MIXED,-0.2727272727272727,2,p2,D,0,0.5
MIXED,0.952020202020202,6,p2,H,2,0.9166666666666666
MIXED,1.3863636363636362,4,p2,H,2,0.875
MIXED,0.6477272727272727,2,p2,A,-1,0.5
EUR-only,0.25,9,p2,A,-2,1.0
MIXED,-0.9375,4,p2,A,-1,0.625
EUR-only,-0.75,2,p2,A,-1,1.0
EUR-only,-1.5,2,p2,A,-4,1.0
EUR-only,2.0,2,p2,H,2,1.0
EUR-only,1.75,3,p2,H,1,1.0
MIXED,-0.7808441558441558,14,p3,A,-3,0.9523809523809523
EUR-only,0.8333333333333334,3,p2,H,4,1.0
EUR-only,-0.8333333333333334,3,p2,A,-2,1.0
MIXED,0.7808441558441558,14,p3,H,4,0.9523809523809523
EUR-only,-2.0,2,p2,A,-1,1.0
EUR-only,-1.75,3,p2,H,2,1.0
EUR-only,1.5,2,p2,H,2,1.0
EUR-only,0.75,2,p2,H,5,1.0
MIXED,-0.6708754208754208,9,p2,A,-1,0.7222222222222222
MIXED,-1.2636363636363637,5,p2,D,0,0.7
EUR-only,-2.9444444444444446,6,p2,A,-5,1.0
EUR-only,2.9444444444444446,6,p2,H,1,1.0
MIXED,1.2636363636363637,5,p2,H,2,0.7
MIXED,0.6708754208754208,9,p2,H,2,0.7222222222222222
MIXED,-0.02727272727272727,10,p2,A,-3,0.9
EUR-only,2.0,2,p2,D,0,1.0
EUR-only,-1.5,6,p2,H,3,1.0
EUR-only,4.5,3,p2,H,5,1.0
MIXED,2.662878787878788,4,p2,H,1,0.875
EUR-only,-2.6,5,p2,A,-4,1.0
EUR-only,2.6,5,p2,H,3,1.0
MIXED,-2.662878787878788,4,p2,A,-1,0.875
EUR-only,-4.5,3,p2,A,-1,1.0
EUR-only,1.5,6,p2,D,0,1.0
MIXED,0.02727272727272727,10,p2,H,3,0.9
EUR-only,-2.0,2,p2,H,2,1.0
EUR-only,-1.5,3,p2,H,1,1.0
MIXED,0.37878787878787884,3,p2,D,0,0.6666666666666666
MIXED,2.125,4,p2,H,1,0.75
MIXED,-0.15909090909090912,4,p2,H,1,0.5
MIXED,-0.07727272727272727,5,p2,H,1,0.7
MIXED,-2.090909090909091,2,p2,A,-3,0.75
MIXED,0.07727272727272727,5,p2,D,0,0.7
MIXED,2.090909090909091,2,p2,H,2,0.75
MIXED,0.15909090909090912,4,p2,A,-2,0.5
MIXED,-2.125,4,p2,D,0,0.75
EUR-only,1.5,3,p2,D,0,1.0
MIXED,-0.37878787878787884,3,p2,A,-1,0.6666666666666666
MIXED,1.7424242424242424,3,p2,D,0,0.8333333333333334
MIXED,-0.30113636363636365,8,p3,H,1,0.875
MIXED,-2.4,3,p3,D,0,0.6666666666666666
MIXED,-0.46060606060606063,3,p3,H,2,0.6666666666666666
MIXED,-0.06818181818181812,2,p2,D,0,0.75
MIXED,0.4606060606060607,3,p3,H,1,0.6666666666666666
MIXED,0.06818181818181812,2,p2,A,-1,0.75
MIXED,0.30113636363636365,8,p3,H,1,0.875
MIXED,2.4,3,p3,H,2,0.6666666666666666
MIXED,-1.7424242424242424,3,p2,H,1,0.8333333333333334
MIXED,1.6852272727272726,20,p3,H,1,0.95
MIXED,0.08428030303030307,8,p2,H,1,0.9375
MIXED,-0.08428030303030307,8,p2,H,4,0.9375
MIXED,-1.6852272727272726,20,p3,D,0,0.95
EUR-only,-1.25,4,p2,A,-5,1.0
MIXED,-0.36784511784511786,9,p2,H,1,0.9444444444444444
EUR-only,-1.1666666666666667,3,p2,D,0,1.0
MIXED,-0.7247474747474748,6,p2,A,-2,0.75
EUR-only,1.625,2,p2,H,2,1.0
MIXED,-0.6774891774891775,7,p2,D,0,0.7142857142857143
EUR-only,-2.25,2,p2,D,0,1.0
EUR-only,-1.3333333333333333,3,p2,D,0,1.0
EUR-only,1.1666666666666667,3,p2,H,6,1.0
MIXED,0.7247474747474748,6,p2,A,-1,0.75
EUR-only,1.25,4,p2,D,0,1.0
MIXED,0.36784511784511786,9,p2,H,2,0.9444444444444444
EUR-only,2.25,2,p2,A,-1,1.0
EUR-only,1.3333333333333333,3,p2,A,-1,1.0
EUR-only,-1.625,2,p2,A,-1,1.0
MIXED,0.6774891774891775,7,p2,A,-3,0.7142857142857143
EUR-only,-0.1,5,p2,H,1,1.0
MIXED,-2.303030303030303,6,p2,A,-2,0.8333333333333334
MIXED,-0.8644781144781145,9,p2,A,-2,0.7777777777777778
MIXED,-2.5181818181818185,5,p2,H,1,0.7
MIXED,0.8644781144781145,9,p2,A,-1,0.7777777777777778
MIXED,2.5181818181818185,5,p2,D,0,0.7
EUR-only,0.1,5,p2,D,0,1.0
MIXED,2.303030303030303,6,p2,D,0,0.8333333333333334
MIXED,0.33560606060606063,10,p2,H,1,0.95
MIXED,0.46060606060606063,5,p2,H,2,0.6
MIXED,-0.46060606060606063,5,p2,A,-1,0.6
MIXED,-0.33560606060606063,10,p2,H,2,0.95
MIXED,0.2272727272727273,12,p2,A,-1,0.875
EUR-only,4.0,2,p2,H,4,1.0
EUR-only,-4.0,2,p2,A,-1,1.0
MIXED,-2.5454545454545454,3,p3,A,-1,0.6666666666666666
MIXED,2.5454545454545454,3,p3,H,2,0.6666666666666666
MIXED,-0.44747474747474747,9,p3,H,1,0.8518518518518519
MIXED,0.44747474747474747,9,p3,D,0,0.8518518518518519
MIXED,-1.2743506493506493,14,p3,D,0,0.9285714285714286
MIXED,-1.4772727272727273,2,p2,H,1,0.5
MIXED,1.4772727272727273,2,p2,H,1,0.5
MIXED,1.2743506493506493,14,p3,A,-3,0.9285714285714286
MIXED,-1.0454545454545454,6,p3,D,0,0.9444444444444444
MIXED,-2.0,2,p3,A,-3,0.8333333333333334
MIXED,2.0,2,p3,D,0,0.8333333333333334
MIXED,1.0454545454545454,6,p3,H,3,0.9444444444444444
MIXED,0.22727272727272724,5,p3,H,1,0.8
EUR-only,0.6666666666666666,3,p3,H,2,1.0
EUR-only,-0.6666666666666666,3,p3,A,-3,1.0
MIXED,-0.2272727272727273,5,p3,D,0,0.8
EUR-only,0.7916666666666666,6,p3,H,3,1.0
EUR-only,-2.1666666666666665,3,p3,D,0,1.0
EUR-only,2.1666666666666665,3,p3,A,-4,1.0
EUR-only,-0.7916666666666666,6,p3,H,1,1.0
MIXED,-0.44747474747474747,9,p3,D,0,0.8518518518518519
MIXED,0.44747474747474747,9,p3,A,-2,0.8518518518518519
EUR-only,-0.3333333333333333,3,p2,D,0,1.0
EUR-only,0.3333333333333333,3,p2,H,1,1.0
MIXED,1.3386363636363636,4,p2,H,1,0.75
MIXED,1.7055555555555557,2,p2,H,1,0.5
MIXED,0.33409090909090916,6,p3,A,-1,0.8333333333333334
MIXED,-0.33409090909090916,6,p3,H,3,0.8333333333333334
MIXED,-1.7055555555555557,2,p2,H,2,0.5
MIXED,2.6420454545454546,3,p3,H,1,0.6666666666666666
MIXED,-0.4090909090909091,6,p3,D,0,0.9444444444444444
MIXED,-0.5814393939393939,3,p3,A,-3,0.5555555555555556
EUR-only,-0.75,2,p2,A,-1,1.0
EUR-only,0.75,2,p2,D,0,1.0
MIXED,0.4090909090909091,6,p3,H,1,0.9444444444444444
MIXED,0.5814393939393939,3,p3,H,2,0.5555555555555556
MIXED,-2.6420454545454546,3,p3,D,0,0.6666666666666666
MIXED,1.8585858585858588,3,p3,A,-1,0.8888888888888888
MIXED,-0.6393280632411067,23,p3,D,0,0.8405797101449275
MIXED,-3.022727272727273,7,p3,H,1,0.9523809523809523
MIXED,3.022727272727273,7,p3,H,2,0.9523809523809523
MIXED,-1.8585858585858588,3,p3,A,-1,0.8888888888888888
MIXED,0.6393280632411067,23,p3,H,1,0.8405797101449275
MIXED,0.6666666666666666,3,p3,A,-3,0.6666666666666666
MIXED,-0.6666666666666666,3,p3,H,1,0.6666666666666666
EUR-only,1.3333333333333333,3,p3,D,0,1.0
EUR-only,-0.75,2,p2,A,-1,1.0
EUR-only,0.75,2,p2,D,0,1.0
EUR-only,-1.3333333333333333,3,p3,D,0,1.0
MIXED,0.9318181818181819,4,p3,H,1,0.6666666666666666
MIXED,1.509090909090909,5,p3,D,0,0.9333333333333333
EUR-only,2.25,2,p2,A,-1,1.0
MIXED,-1.4318181818181819,2,p3,H,2,0.6666666666666666
