est,sd,n,n2,n3,contra,res,gd
0.75,2.2721135535003527,5,3,2,True,H,3
-3.0,,1,1,0,False,D,0
-0.75,0.39528470752104744,2,1,1,False,H,2
-0.5,,1,1,0,False,A,-1
4.0,,1,0,1,False,A,-4
2.0,0.4330127018922193,3,2,1,False,H,1
-2.0,0.4330127018922193,3,2,1,False,D,0
-4.0,,1,0,1,False,H,3
0.75,0.39528470752104744,2,1,1,False,H,1
0.5,,1,1,0,False,A,-5
-0.75,2.2721135535003527,5,3,2,False,H,1
3.0,,1,1,0,False,H,3
-0.6111111111111112,1.5022616694360507,5,4,1,True,D,0
-2.1666666666666665,2.080331170217323,5,1,4,False,A,-4
-0.8333333333333334,1.5456030825826172,3,3,0,False,A,-1
0.8333333333333334,1.5456030825826172,3,3,0,False,H,2
2.1666666666666665,2.080331170217323,5,1,4,True,H,2
0.6111111111111112,1.5022616694360507,5,4,1,True,A,-2
-0.75,1.4930394055974097,3,1,2,False,A,-1
-0.5,0.5,2,0,2,False,A,-4
0.75,3.010398644698074,3,1,2,True,H,2
-3.5,,1,0,1,False,A,-3
3.5,,1,0,1,False,H,4
-0.75,3.010398644698074,3,1,2,True,A,-1
0.5,0.5,2,0,2,False,H,2
0.75,1.4930394055974097,3,1,2,True,H,5
0.25,0.75,2,2,0,False,A,-1
-3.5,3.1622776601683795,2,1,1,True,D,0
-2.4375,3.432041120091658,5,3,2,True,A,-5
2.4375,3.432041120091658,5,3,2,True,H,1
3.5,3.1622776601683795,2,1,1,True,H,2
-0.25,0.75,2,2,0,False,H,2
-0.5909090909090909,0.9927422576291616,7,4,3,False,A,-3
-1.0,,1,0,1,False,D,0
-1.8,1.5256146302392357,4,1,3,False,H,3
3.8333333333333335,1.3123346456686351,6,0,6,False,H,5
3.0,,1,1,0,False,H,1
-2.7142857142857144,1.5409379597888966,5,2,3,False,A,-4
2.7142857142857144,1.5409379597888966,5,2,3,False,H,3
-3.0,,1,1,0,False,A,-1
-3.8333333333333335,1.3123346456686351,6,0,6,False,A,-1
1.8,1.5256146302392357,4,1,3,True,D,0
0.5909090909090909,0.9927422576291616,7,4,3,False,H,3
1.0,,1,0,1,False,H,2
-1.5,1.0801234497346435,3,3,0,False,H,1
1.1666666666666667,1.3176156917368247,2,1,1,True,D,0
3.0,0.0,2,2,0,False,H,1
0.16666666666666666,0.23570226039551584,3,0,3,False,H,1
0.7857142857142857,2.6459923488559225,5,2,3,True,H,1
-3.0,,1,0,1,False,A,-3
-0.7857142857142857,2.6459923488559225,5,2,3,False,D,0
3.0,,1,0,1,False,H,2
-0.16666666666666666,0.23570226039551584,3,0,3,False,A,-2
-3.0,0.0,2,2,0,False,D,0
1.5,1.0801234497346435,3,3,0,False,D,0
-1.1666666666666667,1.3176156917368247,2,1,1,True,A,-1
1.5,,1,1,0,False,D,0
-1.25,,1,0,1,False,D,0
1.25,,1,0,1,False,A,-1
-1.5,,1,1,0,False,H,1
0.75,1.75,2,0,2,False,H,1
0.3333333333333333,1.1785113019775793,3,3,0,False,H,1
1.0,,1,1,0,False,A,-1
-1.0,,1,1,0,False,H,2
-0.3333333333333333,1.1785113019775793,3,3,0,False,H,4
-0.75,1.75,2,0,2,False,D,0
0.125,0.875,3,1,2,False,A,-5
0.25,2.1286732957408003,4,2,2,False,H,1
-1.8571428571428572,1.6563883750436041,4,3,1,False,D,0
-2.0,,1,1,0,False,A,-2
1.0,,1,1,0,False,H,2
0.16666666666666666,1.2156388352540313,5,1,4,False,D,0
-0.9,1.8275666882497066,5,0,5,False,D,0
-0.6,0.24494897427831783,3,2,1,False,D,0
1.8571428571428572,1.6563883750436041,4,3,1,False,H,6
2.0,,1,1,0,False,A,-1
-0.125,0.875,3,1,2,True,D,0
-0.25,2.1286732957408003,4,2,2,True,H,2
0.9,1.8275666882497066,5,0,5,False,A,-1
0.6,0.24494897427831783,3,2,1,False,A,-1
-1.0,,1,1,0,False,A,-1
-0.16666666666666666,1.2156388352540313,5,1,4,True,A,-3
1.0416666666666665,1.8799317856024773,3,1,2,True,H,1
-3.25,2.5124689052802225,4,0,4,False,A,-2
-3.3333333333333335,1.0540925533894598,2,1,1,False,A,-2
0.5,,1,0,1,False,H,1
3.3333333333333335,1.0540925533894598,2,1,1,False,A,-1
-0.5,,1,0,1,False,D,0
-1.0416666666666665,1.8799317856024773,3,1,2,False,D,0
3.25,2.5124689052802225,4,0,4,False,D,0
2.2222222222222223,2.258386291575316,6,3,3,False,H,1
-0.3333333333333333,0.5270462766947299,2,1,1,False,H,2
0.3333333333333333,0.5270462766947299,2,1,1,True,A,-1
-2.2222222222222223,2.258386291575316,6,3,3,False,H,2
0.5,2.5,2,2,0,False,A,-1
4.0,0.5,2,2,0,False,H,4
-4.0,0.5,2,2,0,False,A,-1
0.0,1.0606601717798212,4,0,4,False,D,0
0.0,1.0606601717798212,4,0,4,False,A,-3
-1.1666666666666667,1.247219128924647,3,0,3,False,D,0
1.1666666666666667,1.247219128924647,3,0,3,False,H,3
1.5,0.5,2,0,2,False,H,2
-1.5,0.5,2,0,2,False,A,-3
3.5,,1,0,1,False,H,3
-1.5,,1,1,0,False,H,1
1.5,,1,1,0,False,A,-1
-3.5,,1,0,1,False,H,1
-0.5,,1,0,1,False,H,1
-1.5,,1,0,1,False,D,0
1.5,,1,0,1,False,A,-1
0.5,,1,0,1,False,A,-1
0.5,,1,1,0,False,H,1
-0.5,,1,1,0,False,D,0
2.75,1.796988221070652,3,1,2,False,H,1
1.0,,1,0,1,False,D,0
2.5,,1,0,1,False,A,-1
-2.5,,1,0,1,False,D,0
-1.0,,1,0,1,False,H,3
-0.5,,1,1,0,False,H,1
0.5,,1,1,0,False,H,1
0.0,,1,1,0,False,H,1
-0.2,1.0908712114635715,4,1,3,False,D,0
-1.5,,1,1,0,False,D,0
