country,euro_gd_per_match
ENG,0.8115
ESP,0.5895
GER,0.4757
ITA,0.3734
NOR,0.2794
FRA,0.1896
POR,0.1718
NED,0.1191
POL,0.0948
ISL,-0.0185
DEN,-0.0886
GRE,-0.1292
LVA,-0.16
HUN,-0.1829
SWE,-0.1897
ARM,-0.2
ROU,-0.2157
SVN,-0.2283
TUR,-0.2941
IRL,-0.3
CZE,-0.3186
CYP,-0.3311
BEL,-0.3514
SVK,-0.4054
ISR,-0.4057
AZE,-0.4362
BIH,-0.46
AUT,-0.4888
SUI,-0.5054
UKR,-0.5144
EST,-0.6
SCO,-0.6121
RUS,-0.6296
CRO,-0.6296
BUL,-0.6442
KAZ,-0.6471
SRB,-0.7966
KVX,-0.85
MDA,-0.8676
FIN,-0.9138
BLR,-1.1129
