alias_key,maps_to
bateborisov,BATE Borisov
braga,Sp Braga
dynamokiev,Dinamo Kiev
dynamokyiv,Dinamo Kiev
floratallinn,FC Flora
gais,GAIS
hajduksplit,Hajduk Split
jablonec,FK Jablonec
koper,FC Koper
liepaja,FK Liepaja
lnz,FC LNZ Cherkasy
lnzcherkasy,FC LNZ Cherkasy
maccabitelaviv,Maccabi Tel Aviv
nkvarazdin,NK Varazdin
noahyerevan,FC Noah
nsirunavik,NSI Runavik
pafos,Paphos FC
pafosfc,Paphos FC
paide,Paide Linnameeskond
paksi,Paksi SE
sherifftiraspol,FC Sheriff
thenewsaints,The New Saints
universitateacluj,Universitatea Cluj
valur,Valur Reykjavik
vojvodinanovisad,Vojvodina
zeleznicarpancevo,Zeleznicar Pancevo
zimbruchisinau,FC Zimbru
zira,Zira FK
zrinjski,Zrinjski Mostar
