normalised_key,canonical_name
07vestur,07 Vestur
1899hoffenheim,1899 Hoffenheim
1heidenheim1846,1. FC Heidenheim 1846
1koln,1. FC Köln
1mainz05,1. FSV Mainz 05
1pribram,1. FK Příbram
1prostejov,1. SK Prostějov
1slovacko,1. FC Slovácko
1unionberlin,1. FC Union Berlin
aachen,Aachen
aalborg,Aalborg
aalen,Aalen
aalesund,Aalesund
aarau,Aarau
aarhus,Aarhus
abargir,AB Argir
aberdeen,Aberdeen
aberystwythtown,Aberystwyth Town
academica,Academica
academicaclinceni,Academica Clinceni
accrington,Accrington
adanaspor,Adanaspor
addemirspor,Ad. Demirspor
admira,Admira
aek,AEK
aekathen,AEK Athen
aeklarnaca,AEK Larnaca
aellimassol,AEL Limassol
aezakakiou,AE Zakakiou
afelbasani,AF Elbasani
ahlen,Ahlen
aik,AIK
aiksolna,AIK Solna
ajaccio,Ajaccio
ajacciogfco,Ajaccio GFCO
ajax,Ajax
akhisarbelediyespor,Akhisar Belediyespor
akhmatgrozny,Akhmat Grozny
aklagenfurt,A. Klagenfurt
akratitos,Akratitos
akrontogliatti,Akron Togliatti
aktobe,FK Aktobe
alanyaspor,Alanyaspor
alashkert,FC Alashkert
alaves,Alaves
albacete,Albacete
albinoleffe,Albinoleffe
alcorcon,Alcorcon
alcoyano,Alcoyano
aldershot,Aldershot
alessandria,Alessandria
algeciras,Algeciras
alicante,Alicante
almerecity,Almere City
almeria,Almeria
altach,Altach
altay,Altay
aluminij,NK Aluminij
alustenau,A. Lustenau
alverca,Alverca
amiens,Amiens
amkar,Amkar
amorebieta,Amorebieta
ancona,Ancona
anderlecht,Anderlecht
andorra,Andorra
angers,Angers
ankaragucu,Ankaragucu
ankaraspor,Ankaraspor
annecy,Annecy
anorthosisfamagusta,Anorthosis Famagusta
antalyaspor,Antalyaspor
antwerp,Antwerp
anzimakhackala,FK Anzi Makhackala
apbrerastrumica,FK AP Brera Strumica
apoelnikosia,APOEL Nikosia
apollon,Apollon
apollonlimassol,Apollon Limassol
ararat,FC Ararat
araratarmenia,FC Ararat-Armenia
araznaxcvanpfk,Araz-Naxçıvan PFK
ardakardzhali,Arda Kardzhali
arezzo,Arezzo
arges,FC Arges
aris,Aris
arislimassol,Aris Limassol
arissaloniki,Aris Saloniki
arkagdynia,Arka Gdynia
arles,Arles
arouca,Arouca
arsenal,Arsenal
arsenaldzerzhinsk,Arsenal Dzerzhinsk
arsenaltula,Arsenal Tula
ascoli,Ascoli
asebatspor,A. Sebatspor
astana,FK Astana
asterastripolis,Asteras Tripolis
astonvilla,Aston Villa
astra,Astra
atalanta,Atalanta
atalantabc,Atalanta BC
athbilbao,Ath Bilbao
athbilbaob,Ath Bilbao B
athenskallithea,Athens Kallithea
athletic,Athletic Club
athlone,Athlone
athmadrid,Ath Madrid
atleticescaldes,Atlétic Escaldes
atleticomadrid,Atlético Madrid
atromitos,Atromitos
atvidabergs,Atvidabergs
auda,FK Auda
augsburg,Augsburg
austriavienna,Austria Vienna
austriawien,Austria Wien
auxerre,Auxerre
avellino,Avellino
aves,Aves
avs,AVS
azalkmaar,AZ Alkmaar
b36torshavn,B36 Tórshavn
b68toftir,B68 Toftir
balatown,Bala Town
balikesirspor,Balikesirspor
ballymenaunited,Ballymena United
balti,FC Bălţi
baltika,Baltika
balzan,Balzan FC
bangagargzdai,Banga Gargždai
banikostrava,Baník Ostrava
banikostravab,Baník Ostrava B
barcelona,Barcelona
barcelonab,Barcelona B
bari,Bari
barnet,Barnet
barnsley,Barnsley
barrow,Barrow
barrytownunited,Barry Town United
basel,Basel
basel1893,FC Basel 1893
bastia,Bastia
bateborisov,BATE Borisov
bayer04leverkusen,Bayer 04 Leverkusen
bayerleverkusen,Bayer Leverkusen
bayernmunchen,Bayern München
bayernmunich,Bayern Munich
beerschotva,Beerschot VA
beiramar,Beira Mar
beitarjerusalem,Beitar Jerusalem
belenenses,Belenenses
belshinabobruisk,Belshina Bobruisk
benevento,Benevento
benfica,Benfica
bergen,Bergen
beroe,PFC Beroe
besancon,Besancon
besiktas,Besiktas
