date,comp,home,away,hg,ag,note
2024-07-19,CZE1,Sparta,Pardubice,2,1,
2024-07-20,CZE1,Jablonec,Ml.Boleslav,2,0,
2024-07-20,CZE1,Bohemians,Ostrava,2,1,
2024-07-20,CZE1,C.Budejovice,Olomouc,0,2,
2024-07-20,CZE1,Dukla,Plzen,1,3,
2024-07-21,CZE1,Karvina,Liberec,1,3,
2024-07-21,CZE1,Slovacko,Slavia,0,0,
2024-07-21,CZE1,Hradec,Teplice,1,0,
2024-07-27,CZE1,Dukla,Bohemians,1,0,
2024-07-27,CZE1,Pardubice,Karvina,0,1,
2024-07-27,CZE1,Teplice,Sparta,1,4,
2024-07-27,CZE1,Slavia,C.Budejovice,4,0,
2024-07-28,CZE1,Liberec,Olomouc,1,1,
2024-07-28,CZE1,Ostrava,Jablonec,1,0,
2024-07-28,CZE1,Ml.Boleslav,Slovacko,3,0,
2024-07-28,CZE1,Plzen,Hradec,1,0,
2024-08-02,CZE1,Liberec,Slavia,0,1,
2024-08-02,CZE1,Sparta,Dukla,2,0,
2024-08-03,CZE1,Slovacko,Bohemians,0,0,
2024-08-03,CZE1,Jablonec,Plzen,0,0,
2024-08-03,CZE1,Olomouc,Teplice,2,1,
2024-08-04,CZE1,C.Budejovice,Pardubice,1,3,
2024-08-04,CZE1,Hradec,Ml.Boleslav,2,1,
2024-08-10,CZE1,Dukla,Jablonec,0,2,
2024-08-10,CZE1,Bohemians,Sparta,1,2,
2024-08-10,CZE1,Teplice,Liberec,2,1,h2h
2024-08-10,CZE1,Slavia,Olomouc,2,0,
2024-08-11,CZE1,Pardubice,Slovacko,0,1,
2024-08-11,CZE1,Ostrava,Hradec,1,0,
2024-08-11,CZE1,Ml.Boleslav,C.Budejovice,4,0,
2024-08-11,CZE1,Plzen,Karvina,5,0,
2024-08-17,CZE1,Hradec,Dukla,1,0,
2024-08-17,CZE1,Karvina,Bohemians,1,2,
2024-08-17,CZE1,Slavia,Teplice,2,1,
2024-08-17,CZE1,Jablonec,Sparta,1,2,
2024-08-18,CZE1,C.Budejovice,Plzen,0,3,
2024-08-18,CZE1,Slovacko,Ostrava,1,0,
2024-08-18,CZE1,Olomouc,Ml.Boleslav,3,2,
