date,comp,home,away,hg,ag
2024-07-20,RPL,dinamo-msk,fakel,3,1
2024-07-20,RPL,krylja,zenit,0,4
2024-07-20,RPL,lokomotiv,akron,3,2
2024-07-20,RPL,rostov,cska,0,0
2024-07-21,RPL,akhmat,krasnodar,1,1
2024-07-21,RPL,himki,dinamo-mkh,1,1
2024-07-21,RPL,orenburg,spartak,2,0
2024-07-22,RPL,pari-nn,rubin,2,4
2024-07-26,RPL,krylja,rostov,1,3
2024-07-27,RPL,dinamo-msk,lokomotiv,3,1
2024-07-27,RPL,fakel,akron,0,2
2024-07-27,RPL,pari-nn,cska,0,3
2024-07-27,RPL,rubin,zenit,0,4
2024-07-28,RPL,himki,spartak,1,3
2024-07-28,RPL,krasnodar,dinamo-mkh,0,0
2024-07-28,RPL,orenburg,akhmat,0,0
2024-07-30,CUP,lokomotiv,rostov,1,0
2024-07-30,CUP,rubin,akron,4,0
2024-07-30,CUP,zenit,fakel,3,0
2024-07-31,CUP,akhmat,pari-nn,4,1
2024-07-31,CUP,himki,orenburg,1,0
2024-07-31,CUP,krasnodar,cska,1,0
2024-07-31,CUP,spartak,dinamo-msk,3,0
2024-08-01,CUP,dinamo-mkh,krylja,1,0
2024-08-03,RPL,akron,dinamo-msk,0,2
2024-08-03,RPL,rubin,himki,2,3
2024-08-03,RPL,zenit,rostov,5,0
2024-08-04,RPL,akhmat,lokomotiv,0,5
2024-08-04,RPL,cska,orenburg,5,1
2024-08-04,RPL,dinamo-mkh,pari-nn,0,1
2024-08-04,RPL,fakel,krasnodar,0,0
2024-08-05,RPL,spartak,krylja,3,0
2024-08-09,RPL,pari-nn,himki,1,0
2024-08-09,RPL,rostov,rubin,1,1
2024-08-10,RPL,krasnodar,cska,2,1
2024-08-10,RPL,lokomotiv,dinamo-mkh,2,0
2024-08-10,RPL,orenburg,akron,2,2
2024-08-10,RPL,zenit,dinamo-msk,1,0
2024-08-11,RPL,krylja,fakel,2,0
2024-08-11,RPL,spartak,akhmat,0,0
2024-08-13,CUP,orenburg,lokomotiv,2,3
2024-08-13,CUP,rostov,himki,3,1
2024-08-14,CUP,cska,pari-nn,1,1
2024-08-14,CUP,dinamo-msk,dinamo-mkh,2,1
2024-08-14,CUP,krylja,spartak,0,3
2024-08-14,CUP,rubin,zenit,0,1
2024-08-15,CUP,fakel,akron,1,2
2024-08-15,CUP,krasnodar,akhmat,1,0
2024-08-17,RPL,dinamo-msk,krylja,1,0
2024-08-17,RPL,rostov,orenburg,3,2
2024-08-18,RPL,cska,lokomotiv,0,1
2024-08-18,RPL,himki,zenit,1,1
2024-08-18,RPL,krasnodar,pari-nn,2,1
2024-08-18,RPL,spartak,fakel,3,0
2024-08-19,RPL,akron,rubin,1,2
2024-08-19,RPL,dinamo-mkh,akhmat,1,0
2024-08-23,RPL,rubin,dinamo-mkh,2,0
