date,home,away,PinnacleCloseHome,PinnacleCloseDraw,PinnacleCloseAway,AvgCloseHome,AvgCloseDraw,AvgCloseAway
2024-10-19,philadelphia,fc-cincinnati,1.85,4.10,3.95,1.82,4.02,3.88
2024-10-19,dc-united,charlotte,1.62,4.40,5.00,1.59,4.28,4.89
2024-10-19,orlando,atlanta,2.15,3.80,3.25,2.10,3.71,3.19
2024-10-19,inter-miami,new-england,1.38,5.75,7.00,1.35,5.55,6.80
2024-10-19,minnesota,st-louis,1.53,4.80,5.50,1.51,4.65,5.32
2024-10-19,real-salt-lake,vancouver,1.75,4.20,4.40,1.71,4.09,4.25
2024-10-19,seattle,portland,1.91,3.95,3.80,1.88,3.85,3.69
2024-10-19,houston,la-galaxy,2.40,3.75,2.80,2.35,3.66,2.73
2024-10-19,austin,colorado,2.65,3.70,2.55,2.58,3.59,2.49
2024-10-19,fc-dallas,sporting-kc,2.05,3.85,3.40,2.01,3.74,3.31
2024-10-19,lafc,san-jose,1.22,7.50,11.50,1.20,7.15,10.90
2024-10-22,cf-montreal,atlanta,2.35,3.65,2.90,2.31,3.58,2.84
2024-10-24,vancouver,portland,2.10,3.80,3.30,2.06,3.72,3.21
2024-10-25,inter-miami,atlanta,1.28,6.50,9.50,1.26,6.21,9.04
2024-10-26,la-galaxy,colorado,1.44,5.25,6.25,1.41,5.08,5.99
2024-10-27,orlando,charlotte,1.78,3.90,4.65,1.74,3.79,4.48
2024-10-27,lafc,vancouver,1.50,4.75,6.00,1.47,4.55,5.72
2024-10-28,fc-cincinnati,nycfc,1.65,4.20,5.25,1.62,4.08,5.02
2024-10-29,columbus,ny-red-bulls,1.57,4.50,5.50,1.54,4.35,5.28
2024-11-01,charlotte,orlando,2.45,3.50,2.90,2.40,3.42,2.83
2024-11-01,colorado,la-galaxy,2.85,3.95,2.30,2.78,3.84,2.25
2024-11-02,nycfc,fc-cincinnati,2.50,3.70,2.70,2.44,3.61,2.63
2024-11-02,atlanta,inter-miami,3.80,4.33,1.83,3.68,4.19,1.79
2024-11-03,ny-red-bulls,columbus,2.75,3.70,2.45,2.69,3.59,2.39
2024-11-04,vancouver,lafc,3.40,3.90,2.05,3.29,3.78,2.01
2024-11-09,lafc,vancouver,1.40,5.25,7.25,1.38,5.02,6.91
2024-11-09,fc-cincinnati,nycfc,1.60,4.40,5.50,1.57,4.25,5.22
2024-11-09,orlando,charlotte,1.72,3.95,4.90,1.69,3.84,4.71
2024-11-10,inter-miami,atlanta,1.25,7.00,10.50,1.23,6.68,9.98
