date,fixture,K,zoneBase,zoneDrop2,sideBase,shareBase,shareDrop2,actual,resBase,resDrop2
2024-07-30,Hamrun Spartans v KF Ballkani,2,toss,NC,TA,0.0,,A,L,NC
2024-07-31,FC Khimki v FC Orenburg,2,windraw,NC,TB,57.1,,H,L,NC
2024-08-01,Dynamo Makhachkala v Krylya Sovetov Sam,2,windraw,NC,TA,100.0,,H,W,NC
2024-08-03,Akron Tolyatti v Dynamo Moscow,2,windraw,NC,TB,63.6,,A,W,NC
2024-08-03,Rubin Kazan v FC Khimki,2,windraw,NC,TB,100.0,,A,W,NC
2024-08-03,Zenit St Petersbur v FC Rostov,2,strong,NC,TA,100.0,,H,W,NC
2024-08-04,Akhmat Grozny v Lokomotiv Moscow,2,lean,NC,TA,50.0,,A,L,NC
2024-08-04,CSKA Moscow v FC Orenburg,2,lean,NC,TA,50.0,,H,W,NC
2024-08-04,Dynamo Makhachkala v Pari Nizhny Novgor,2,windraw,NC,TA,100.0,,A,L,NC
2024-08-04,Fakel Voronezh v FC Krasnodar,2,lean,NC,TA,50.0,,D,D,NC
2024-08-05,Spartak Moscow v Krylya Sovetov Sam,2,windraw,NC,TA,60.0,,H,W,NC
2024-08-09,Pari Nizhny Novgor v FC Khimki,2,windraw,lean,TA,56.5,50.0,H,W,W
2024-08-09,FC Rostov v Rubin Kazan,2,lean,windraw,TB,52.0,100.0,D,D,D
2024-08-10,FC Krasnodar v CSKA Moscow,2,windraw,windraw,TB,57.1,100.0,H,L,L
2024-08-10,Lokomotiv Moscow v Dynamo Makhachkala,2,toss,lean,TA,38.5,50.0,H,W,L
2024-08-10,FC Orenburg v Akron Tolyatti,2,lean,windraw,TA,50.0,66.7,D,D,D
2024-08-10,Zenit St Petersbur v Dynamo Moscow,2,windraw,windraw,TA,80.6,75.0,H,W,W
2024-08-11,Krylya Sovetov Sam v Fakel Voronezh,2,lean,lean,TB,51.2,50.0,H,L,W
2024-08-11,Spartak Moscow v Akhmat Grozny,2,windraw,windraw,TA,61.2,70.0,D,D,D
2024-08-13,FC Orenburg v Lokomotiv Moscow,2,windraw,windraw,TB,58.5,83.3,A,W,L
2024-08-13,FC Rostov v FC Khimki,2,lean,lean,TA,51.6,50.0,H,W,W
2024-08-14,Dynamo Moscow v Dynamo Makhachkala,2,windraw,windraw,TA,71.9,71.4,H,W,W
2024-08-14,Krylya Sovetov Sam v Spartak Moscow,2,windraw,lean,TB,59.1,53.8,A,W,W
2024-08-14,Rubin Kazan v Zenit St Petersbur,2,win,windraw,TB,74.3,57.1,A,W,W
2024-08-15,Fakel Voronezh v Akron Tolyatti,2,windraw,windraw,TB,55.7,55.6,A,W,W
2024-08-15,FC Krasnodar v Akhmat Grozny,2,toss,toss,TB,47.6,40.0,H,L,L
2024-08-17,Dynamo Moscow v Krylya Sovetov Sam,2,windraw,windraw,TA,68.5,62.8,H,W,W
2024-08-17,FC Rostov v FC Orenburg,2,toss,toss,TB,45.8,47.5,H,L,W
2024-08-18,CSKA Moscow v Lokomotiv Moscow,2,toss,toss,TA,45.6,40.0,A,L,W
2024-08-18,FC Khimki v Zenit St Petersbur,2,windraw,windraw,TB,82.4,81.3,D,D,D
