date,fixture,hPct,dPct,aPct,leader,leaderShare,actual,h2hH,h2hD,h2hA,comH,comD,comA,thirdH,thirdD,thirdA,paths,effective
2024-07-30,Hamrun Spartans v KF Ballkani,0.0,100.0,0.0,H,0.0,A,0,100,0,0,0,0,0,0,0,1,1
2024-07-31,FC Khimki v FC Orenburg,0.0,42.9,57.1,A,57.1,H,0,0,0,0,0,100,0,100,0,2,2
2024-08-01,Dynamo Makhachkala v Krylya Sovetov Sam,100.0,0.0,0.0,H,100.0,H,0,0,0,0,0,0,100,0,0,1,1
2024-08-03,Akron Tolyatti v Dynamo Moscow,0.0,36.4,63.6,A,63.6,A,0,0,0,0,50,50,0,0,100,3,2
2024-08-03,Rubin Kazan v FC Khimki,0.0,0.0,100.0,A,100.0,A,0,0,0,0,0,0,0,0,100,2,2
2024-08-03,Zenit St Petersbur v FC Rostov,100.0,0.0,0.0,H,100.0,H,0,0,0,100,0,0,100,0,0,5,2
2024-08-04,Akhmat Grozny v Lokomotiv Moscow,50.0,25.0,25.0,H,50.0,A,0,0,0,0,0,0,50,25,25,4,3
2024-08-04,CSKA Moscow v FC Orenburg,50.0,50.0,0.0,H,50.0,H,0,0,0,0,0,0,50,50,0,2,1
2024-08-04,Dynamo Makhachkala v Pari Nizhny Novgor,100.0,0.0,0.0,H,100.0,A,0,0,0,0,0,0,100,0,0,3,2
2024-08-04,Fakel Voronezh v FC Krasnodar,50.0,50.0,0.0,H,50.0,D,0,0,0,0,0,0,50,50,0,2,1
2024-08-05,Spartak Moscow v Krylya Sovetov Sam,60.0,0.0,40.0,H,60.0,H,0,0,0,0,0,0,60,0,40,5,3
2024-08-09,Pari Nizhny Novgor v FC Khimki,56.5,0.0,43.5,H,56.5,H,0,0,0,50,0,50,60,0,40,7,3
2024-08-09,FC Rostov v Rubin Kazan,48.0,0.0,52.0,A,52.0,D,0,0,0,0,0,100,57,0,43,8,3
2024-08-10,FC Krasnodar v CSKA Moscow,42.9,0.0,57.1,A,57.1,H,100,0,0,0,0,0,20,0,80,6,3
2024-08-10,Lokomotiv Moscow v Dynamo Makhachkala,38.5,30.8,30.8,H,38.5,H,0,0,0,0,0,0,38,31,31,13,4
2024-08-10,FC Orenburg v Akron Tolyatti,50.0,16.7,33.3,H,50.0,D,0,0,0,0,0,0,50,17,33,12,3
2024-08-10,Zenit St Petersbur v Dynamo Moscow,80.6,0.0,19.4,H,80.6,H,0,0,0,100,0,0,78,0,22,10,2
2024-08-11,Krylya Sovetov Sam v Fakel Voronezh,34.9,14.0,51.2,A,51.2,H,0,0,0,0,0,100,38,15,46,14,2
2024-08-11,Spartak Moscow v Akhmat Grozny,61.2,0.0,38.8,H,61.2,D,0,0,0,0,0,100,67,0,33,16,3
2024-08-13,FC Orenburg v Lokomotiv Moscow,41.5,0.0,58.5,A,58.5,A,0,0,0,0,0,100,47,0,53,21,4
