date,fixture,hPct,dPct,aPct,leader,leaderShare,actual,h2hH,h2hD,h2hA,comH,comD,comA,thirdH,thirdD,thirdA,paths,effective
2024-07-30,Hamrun Spartans v KF Ballkani,0.0,100.0,0.0,H,0.0,A,0,100,0,0,0,0,0,0,0,1,1
2024-07-31,FC Khimki v FC Orenburg,0.0,33.3,66.7,A,66.7,H,0,0,0,0,0,100,0,100,0,2,2
2024-08-01,Dynamo Makhachkala v Krylya Sovetov Sam,100.0,0.0,0.0,H,100.0,H,0,0,0,0,0,0,100,0,0,1,1
2024-08-03,Akron Tolyatti v Dynamo Moscow,0.0,40.0,60.0,A,60.0,A,0,0,0,0,50,50,0,0,100,3,2
2024-08-03,Rubin Kazan v FC Khimki,0.0,0.0,100.0,A,100.0,A,0,0,0,0,0,0,0,0,100,2,2
2024-08-03,Zenit St Petersbur v FC Rostov,100.0,0.0,0.0,H,100.0,H,0,0,0,100,0,0,100,0,0,5,2
2024-08-04,Akhmat Grozny v Lokomotiv Moscow,50.0,25.0,25.0,H,50.0,A,0,0,0,0,0,0,50,25,25,4,3
2024-08-04,CSKA Moscow v FC Orenburg,50.0,50.0,0.0,H,50.0,H,0,0,0,0,0,0,50,50,0,2,1
2024-08-04,Dynamo Makhachkala v Pari Nizhny Novgor,100.0,0.0,0.0,H,100.0,A,0,0,0,0,0,0,100,0,0,3,2
2024-08-04,Fakel Voronezh v FC Krasnodar,50.0,50.0,0.0,H,50.0,D,0,0,0,0,0,0,50,50,0,2,1
2024-08-05,Spartak Moscow v Krylya Sovetov Sam,60.0,0.0,40.0,H,60.0,H,0,0,0,0,0,0,60,0,40,5,3
2024-08-09,Pari Nizhny Novgor v FC Khimki,55.6,0.0,44.4,H,55.6,H,0,0,0,50,0,50,60,0,40,7,3
2024-08-09,FC Rostov v Rubin Kazan,44.4,0.0,55.6,A,55.6,D,0,0,0,0,0,100,57,0,43,8,3
2024-08-10,FC Krasnodar v CSKA Moscow,36.8,0.0,63.2,A,63.2,H,100,0,0,0,0,0,20,0,80,6,3
2024-08-10,Lokomotiv Moscow v Dynamo Makhachkala,38.5,30.8,30.8,H,38.5,H,0,0,0,0,0,0,38,31,31,13,4
2024-08-10,FC Orenburg v Akron Tolyatti,50.0,16.7,33.3,H,50.0,D,0,0,0,0,0,0,50,17,33,12,3
