# SPA 2025-26 carrier rows — transcribed from fbref.com 2025-2026 La Liga Scores & Fixtures
# (fetched 2026-08-06, 25 chunks). Format: MD|YYYY-MM-DD|Home|HG|AG|Away|Venue
# Names already mapped to workorder roster strings.
MD1|2025-08-15|Girona|1|3|Vallecano|Estadi Municipal de Montilivi
MD1|2025-08-15|Villarreal|2|0|Oviedo|Estadio de la Cerámica
MD1|2025-08-16|Mallorca|0|3|Barcelona|Estadi Mallorca Son Moix
MD1|2025-08-16|Valencia|1|1|Sociedad|Estadio de Mestalla
MD1|2025-08-16|Alaves|2|1|Levante|Estadio de Mendizorroza
MD1|2025-08-17|Celta|0|2|Getafe|Estadio Abanca Balaídos
MD1|2025-08-17|Ath Bilbao|3|2|Sevilla|San Mamés
MD1|2025-08-17|Espanol|2|1|Ath Madrid|RCDE Stadium
MD1|2025-08-18|Elche|1|1|Betis|Estadio Manuel Martínez Valero
MD1|2025-08-19|Real Madrid|1|0|Osasuna|Estadio Santiago Bernabéu
MD2|2025-08-22|Betis|1|0|Alaves|Estadio La Cartuja de Sevilla
MD2|2025-08-23|Mallorca|1|1|Celta|Estadi Mallorca Son Moix
MD2|2025-08-23|Ath Madrid|1|1|Elche|Riyadh Air Metropolitano
MD2|2025-08-23|Levante|2|3|Barcelona|Estadio Ciudad de Valencia
MD2|2025-08-24|Osasuna|1|0|Valencia|Estadio El Sadar
MD2|2025-08-24|Sociedad|2|2|Espanol|Reale Arena
MD2|2025-08-24|Villarreal|5|0|Girona|Estadio de la Cerámica
MD2|2025-08-24|Oviedo|0|3|Real Madrid|Estadio Nuevo Carlos Tartiere
MD2|2025-08-25|Ath Bilbao|1|0|Vallecano|San Mamés
MD2|2025-08-25|Sevilla|1|2|Getafe|Estadio Ramón Sánchez Pizjuán
MD6|2025-08-27|Celta|1|1|Betis|Estadio Abanca Balaídos
MD3|2025-08-29|Elche|2|0|Levante|Estadio Manuel Martínez Valero
MD3|2025-08-29|Valencia|3|0|Getafe|Estadio de Mestalla
MD3|2025-08-30|Alaves|1|1|Ath Madrid|Estadio de Mendizorroza
MD3|2025-08-30|Oviedo|1|0|Sociedad|Estadio Nuevo Carlos Tartiere
MD3|2025-08-30|Girona|0|2|Sevilla|Estadi Municipal de Montilivi
MD3|2025-08-30|Real Madrid|2|1|Mallorca|Estadio Santiago Bernabéu
MD3|2025-08-31|Celta|1|1|Villarreal|Estadio Abanca Balaídos
MD3|2025-08-31|Betis|1|2|Ath Bilbao|Estadio La Cartuja de Sevilla
MD3|2025-08-31|Espanol|1|0|Osasuna|RCDE Stadium
MD3|2025-08-31|Vallecano|1|1|Barcelona|Campo de Fútbol de Vallecas
MD4|2025-09-12|Sevilla|2|2|Elche|Estadio Ramón Sánchez Pizjuán
MD4|2025-09-13|Getafe|2|0|Oviedo|Coliseum Alfonso Pérez
MD4|2025-09-13|Sociedad|1|2|Real Madrid|Reale Arena
MD4|2025-09-13|Ath Bilbao|0|1|Alaves|San Mamés
MD4|2025-09-13|Ath Madrid|2|0|Villarreal|Riyadh Air Metropolitano
MD4|2025-09-14|Celta|1|1|Girona|Estadio Abanca Balaídos
MD4|2025-09-14|Levante|2|2|Betis|Estadio Ciudad de Valencia
MD4|2025-09-14|Osasuna|2|0|Vallecano|Estadio El Sadar
MD4|2025-09-14|Barcelona|6|0|Valencia|Estadi Johan Cruyff
MD4|2025-09-15|Espanol|3|2|Mallorca|RCDE Stadium
MD5|2025-09-19|Betis|3|1|Sociedad|Estadio La Cartuja de Sevilla
MD5|2025-09-20|Girona|0|4|Levante|Estadi Municipal de Montilivi
MD5|2025-09-20|Real Madrid|2|0|Espanol|Estadio Santiago Bernabéu
MD5|2025-09-20|Alaves|1|2|Sevilla|Estadio de Mendizorroza
MD5|2025-09-20|Villarreal|2|1|Osasuna|Estadio de la Cerámica
MD5|2025-09-20|Valencia|2|0|Ath Bilbao|Estadio de Mestalla
MD5|2025-09-21|Vallecano|1|1|Celta|Campo de Fútbol de Vallecas
MD5|2025-09-21|Mallorca|1|1|Ath Madrid|Estadi Mallorca Son Moix
MD5|2025-09-21|Elche|1|0|Oviedo|Estadio Manuel Martínez Valero
MD5|2025-09-21|Barcelona|3|0|Getafe|Estadi Johan Cruyff
MD6|2025-09-23|Espanol|2|2|Valencia|RCDE Stadium
MD6|2025-09-23|Ath Bilbao|1|1|Girona|San Mamés
MD6|2025-09-23|Levante|1|4|Real Madrid|Estadio Ciudad de Valencia
MD6|2025-09-23|Sevilla|1|2|Villarreal|Estadio Ramón Sánchez Pizjuán
MD6|2025-09-24|Getafe|1|1|Alaves|Coliseum Alfonso Pérez
MD6|2025-09-24|Ath Madrid|3|2|Vallecano|Riyadh Air Metropolitano
MD6|2025-09-24|Sociedad|1|0|Mallorca|Reale Arena
MD6|2025-09-25|Osasuna|1|1|Elche|Estadio El Sadar
MD6|2025-09-25|Oviedo|1|3|Barcelona|Estadio Nuevo Carlos Tartiere
